Link,Title,Body,Author,Published
https://www.msn.com/en-us/money/savingandinvesting/credit-suisse-fund-outflows-widen-to-56-billion-following-ubs-tie-up/ar-AA19X5cQ,Credit Suisse fund outflows widen to $5.6 billion following UBS tie-up,"FINANCIAL NEWS

Outflows from Credit Suisse branded investment funds have accelerated in the weeks since its historic merger with Swiss rival UBS, as investors continue to redeem billions of dollars.

Data provided to Financial News by Morningstar shows net outflows from around 300 EU and US domiciled Credit Suisse funds have reached $5.6 billion over the three weeks since the tie-up.

The latest outflows will pile pressure on the merged firm; investors had already pulled around $3 billion from Credit Suisse funds in the week surrounding the shotgun wedding.

The latest figures show an additional $2.5 billion of net outflows from Credit Suisse funds between March 23 and April 6.

“It is fair to say that there is still uncertainty around the deal and the potential impact that it may have on Credit Suisse Asset Management,” Johann Scholtz, an equity analyst at Morningstar told FN.

Heavy outflows from Credit Suisse funds began on March 14, the day the bank said it had discovered “material weaknesses” in its financial reporting controls.

Credit Suisse declined to comment.

The largest daily outflows remain those recorded on March 21 — two days after the landmark deal was announced — when $776 million was pulled from Credit Suisse’s European funds.

Despite the steady outflows in recent weeks, the Morningstar figures show Credit Suisse’s European funds posted net inflows of more than $240 million over April 5 and April 6 — an early indication that investor jitters are starting to subside.

The flows data does not include all the asset manager’s funds in Europe and the U,S,, and represents only those funds that report daily figures to Morningstar.

Laith Khalaf, head of investments at online platform AJ Bell, said the bulk of fund outflows in the days surrounding the tie-up with UBS was likely driven by investors worried about the stability of Credit Suisse and those spooked by wider banking sector turmoil.

“Those assets should be ring-fenced in the event of an insolvency, but investors might have decided that a belt-and-braces approach was required given the febrile market conditions at the time,” he said.

The $3.25 billion tie-up between UBS and Credit Suisse — the biggest merger between two systematically integral banks since the 2008 global financial crisis — also combined the banks’ respective asset management units, creating Europe’s largest money manager with $1.5 trillion.

UBS announced on March 29 that former boss Sergio Ermotti would return to oversee the merger. Ermotti, who stepped down as UBS chief in 2020 after nine years in the role, took over from Ralph Hamers at the start of April.

Analysts told FN last month that Ermotti would likely face significant challenges bringing together the two management arms, citing differences in corporate cultures, overlapping product ranges and technology issues.

Scholtz said some outflows in recent weeks may have been driven by Credit Suisse’s wealth management clients moving to other firms to “lower their concentration risk” if they are already using similar wealth products and services offered by UBS.

Similarly, some institutional investors with allocation to Credit Suisse funds may want to diversify if they are also UBS Asset Management clients, he said.

This story originally appeared at FNLondon.com",[],
https://www.ft.com/content/cc2ff231-a8bf-4edf-aadf-93d9641c66cf,Subscribe to read,"What is included in my trial?

During your trial you will have complete digital access to FT.com with everything in both of our Standard Digital and Premium Digital packages.

Standard Digital includes access to a wealth of global news, analysis and expert opinion. Premium Digital includes access to our premier business column, Lex, as well as 15 curated newsletters covering key business themes with original, in-depth reporting. For a full comparison of Standard and Premium Digital, click here.

Change the plan you will roll onto at any time during your trial by visiting the “Settings & Account” section.

What happens at the end of my trial?

If you do nothing, you will be auto-enrolled in our premium digital monthly subscription plan and retain complete access for 65 € per month.

For cost savings, you can change your plan at any time online in the “Settings & Account” section. If you’d like to retain your premium access and save 20%, you can opt to pay annually at the end of the trial.

You may also opt to downgrade to Standard Digital, a robust journalistic offering that fulfils many user’s needs. Compare Standard and Premium Digital here.

Any changes made can be done at any time and will become effective at the end of the trial period, allowing you to retain full access for 4 weeks, even if you downgrade or cancel.",[],
https://www.businessinsider.com/investing-stocks-to-buy-earnings-market-outlook-prediction-credit-suisse-2023-4,"These 15 stocks will matter the most to corporate profits during a quarter where earnings will fall again, according to Credit Suisse","Markets are preparing for a second straight quarter of negative earnings growth.

But there are several silver linings for investors right now, according to Credit Suisse.

Here are 15 stocks that are about to post strong earnings this quarter.

Negative earnings momentum will carry into the coming quarter, according to Credit Suisse.

In Q4 2022, earnings declined for the first time since 2020. Current consensus estimates for Q1 indicate that corporate profits for S&P 500 companies will decline yet again, this time by 6.4% year-over-year, wrote Jonathan Golub, the chief US equity strategist at Credit Suisse, in an April 12 note.

Earnings are expected to keep falling in Q1. Credit Suisse

Markets are bracing for weaker profits in seven of the 11 S&P 500 sectors, Golub wrote. While it's worth mentioning that earnings estimates often slip in the three months before the Q1 earnings season, Golub noted that the drop is typically by a more modest 4.2%.

Q1 earnings revisions are more negative than usual, according to Credit Suisse. Credit Suisse

Lower earnings shouldn't come as a surprise to investors. In late December, Golub predicted that earnings would slide by 3% to 4% year-over-year in 2023.

Silver linings in a shaky earnings environment

Although earnings appear set to tumble this quarter, a closer look suggests that investors shouldn't be completely fearful about stocks right now.

While earnings are projected to fall by 6.4% in Q1, Golub noted that the median S&P 500 company is actually expected to enjoy positive earnings growth of 0.6%. That implies that poor results from a handful of large stocks in the index will drag down the average.

Weaker bottom-lines are also masking anticipated strength in sales growth, Credit Suisse found. Revenue for S&P 500 firms is forecast to rise 1.7% in Q1, Golub wrote, adding that technology is the only sector where top-line growth is supposed to be lower than it was in the first quarter of 2022. The issue for stocks is profit margins, which are expected to fall 9.9% across sectors.

But it's still possible that earnings will beat dismal expectations. Of the 21 companies that shared their Q1 quarterly results early, 20 of them beat estimates by an average of 10.9%, Golub noted. That surprising strength mirrors resilience in the economy and the labor market.

While earnings will likely get off to a rocky start in Q1, they are set to rise consistently throughout the year and eke out a gain by the end of 2023, according to consensus estimates cited by Golub.

""Profits are likely to bottom in 2Q, assuming a similar pace of revisions experienced in recent quarters, and turn positive in 4Q23, helped by easy comps,"" Golub wrote in the note.

15 stocks that will carry the market's earnings

In his note, Golub listed 15 companies that will be the biggest positive influences on S&P 500 earnings growth in Q1, even though the overall estimate is negative.

Stocks that made the list have a variety of catalysts, including easy year-over-year comparisons, robust refining margins for energy companies, and a continued economic reopening for cruise lines, casinos, and airlines.

Those 15 stocks are below, along with the ticker, weight of S&P 500 profits, expected earnings growth, and expected contribution to earnings growth for each.",['James Faris'],2023-04-17 00:00:00
https://www.msn.com/en-us/money/companies/japanese-bank-s-clients-lost-over-700-million-in-credit-suisse-coco-bond-fiasco-report/ar-AA19Rogk,Japanese bank’s clients lost over $700 million in Credit Suisse CoCo bond fiasco: report,"Clients at Mitsubishi UFJ Financial Group Inc (MUFG) lost more than $700 million on Credit Suisse Group AG’s contingent convertible bond wipeout, according to people familiar with the matter, first reported by Bloomberg on Friday.

Sources say senior officials are reportedly reaching out to around 1,500 clients who lost a total 95 billion yen ($717 million) when Swiss regulators wrote down the value of Credit Suisse’s contingent convertible bonds –– also known as CoCo bonds or Additional Tier 1 (AT1) bonds –– last month.

American depositary receipts of Mitsubishi UFJ Financial Group were up almost 1% in Monday premarket trading.

The bonds were purchased through MUFG’s brokerage venture with Morgan Stanley Mitsubishi UFJ Morgan Stanley Securities.

Of those 1,500 client accounts, 1,300 were held by individual investors and the rest were owned by corporations, according to a spokeswoman from Mitsubishi UFJ Morgan Stanley Securities on Monday.

A spokesperson for the bank told Bloomberg that it is looking into whether wealth managers operating within the venture properly explained the risks of AT1 bonds.

Those bonds were designed to be risky and could be written down if a bank needs capital in an emergency. But when the Switzerland’s government wiped out the debt at Credit Suisse as part of a planned deal for the Swiss bank to be taken over by UBS some bondholders lashed out against the move and sought legal advice.

The move rocked the bond market and put the health of some European banks into the spotlight, with similar bonds at Deutsche Bank dropping in value after the event.

“We are very sorry that we are causing our clients concern,” Mitsubishi UFJ Morgan Stanley told Bloomberg. “We will continue to offer thorough explanations to the customers who have been affected.”

MarketWatch reached out to Mitsubishi UFJ Morgan Stanley for comment.",[],
https://www.wsj.com/livecoverage/stock-market-news-today-04-17-2023/card/credit-suisse-fallout-spreads-to-japanese-individual-investors-DhcHeLpxWIxtQlie1JPA,Credit Suisse Fallout Spreads to Japanese Individual Investors,"MUFG and its peers have recovered from a bout of nerves in March. (Kiyoshi Ota/Bloomberg News)

The good times are rolling again for big banks—including Japan’s top three lenders, all of which saw healthy stock-price gains Monday. Some of their clients aren’t celebrating.

Clients of Mitsubishi UFJ Morgan Stanley Securities lost about ¥95 billion, equivalent to $710 million, in Credit Suisse bonds that became worthless recently, a spokeswoman for the Japanese brokerage said Monday.",[],
https://www.ibtimes.co.uk/credit-suisse-class-action-could-force-banks-clean-their-act-says-finance-expert-1715144,"Credit Suisse class action could force banks to clean up their act, says finance expert","The recent class actions filed against investment bank Credit Suisse send a strong message that companies with international importance must clean up their act, says a finance expert.

Tom Davey, Co-Founder and Director of Factor Risk Management, a global litigation finance company, believes the current lack of effective regulation leaves bondholders and shareholders ""carrying the can"".

Earlier this year, Credit Suisse and the U.S. Securities and Exchange Commission (SEC) became embroiled in a debate over the severity of reporting deficiencies that led the Swiss bank to delay its annual report.

Credit Suisse said in March it had postponed the annual filing after a ""late call"" with the regulator which raised questions about earlier financial statements.

However, correspondence published in the SEC's online database on Tuesday shows that agency staff first raised questions with Credit Suisse officials in July 2022.

The last-minute delay concerned analysts and sent Credit Suisse shares to near an all-time low.

Figures from Morningstar Direct show that more than $450m (£369m) was withdrawn from Credit Suisse's US and European-managed funds between 13 and 15 March, as retail and institutional investors pulled their money from the embattled lender.

Credit Suisse's chairman apologised to shareholders for bringing the 167-year-old lender to the brink of bankruptcy.

""I am truly sorry,"" Axel Lehmann said, addressing the final meeting of shareholders last week. ""I apologise that we were no longer able to stem the loss of trust.""

The collapse of the banking firm led the Swiss government to use an emergency law to push through a state-backed mega-merger of the Union Bank of Switzerland (UBS) and Credit Suisse, controversially sidelining the country's parliament in the process.

Switzerland's two parliamentary chambers voted to reject the government's 109 billion Swiss francs ($122.82 billion) in aid for the deal between the country's two biggest banks.

A recent Sotomo poll showed two-thirds of the population was against the UBS takeover of Credit Suisse, while a third of respondents were angry that emergency laws had been used to bypass parliament.

The collapse and subsequent merger of Credit Suisse with UBS has left them facing at least 6-class action lawsuits.

US investors claim that it overstated its prospects before last month's shares crash, while bondholders are also preparing a lawsuit over the write-down of the company's bonds, as they now face only receiving a fraction of their value before the UBS takeover.

According to Davey, the increased use of private criminal prosecutions as well as civil action against banks could force them to improve their entity management.

He said: ""The greatest regulator of behaviour is the credible threat of paying compensation.""

With the threat of legal action looming over the Swiss firm, shareholders lashed out at the board of directors and former management, including advisory firm Ethos, who in turn denounced the ""greed and incompetence of the bank's managers.""

""Shareholders have lost considerable amounts of money and thousands of jobs are on the line,"" the firm stated.

UBS reportedly plans to cut its current workforce by up to 30 per cent, which translates to approximately 36,000 positions worldwide, after completing its takeover of the troubled Swiss lender.

The two companies jointly employed over 120,000 people at the end of 2022, including 30 per cent of the total workforce in Switzerland.

While UBS said it will soon provide better clarity on the layoffs, the latest cutback surpasses the 9,000 layoffs announced by Credit Suisse last month.

Following the Swiss Firm's dramatic collapse, Silicon Valley Bank also teetered on bankruptcy after revealing it had a hole in its finances.

The demise of both banks is the biggest bank failure in the US since the financial crisis of 2008, leading to heightened demands for banks to face tougher regulations on their management of legal entity governance and compliance.

With this in mind, American President Joe Biden called on Congress to allow regulators to impose tougher penalties on the executives of failed banks, including clawing back pay and bonuses and making it easier to bar them from working in the industry again.

Biden said: ""No one is above the law - and strengthening accountability is an important deterrent to prevent mismanagement in the future.""

After the 2008 Financial Crisis and significant conduct failures such as the manipulation of the London Interbank Offered Rate, the UK government began to initiate reforms on entity management regulations, however, other countries have been slower to the punch.

What was once considered ""housekeeping"" must now be the focus of a cultural shift within organisations, according to Daniel Connell, Deloitte Global Leader for Legal Entity Management, to satisfy revenue authorities and meet expectations of transparency on a global scale.

In March 2022, the Securities and Exchange Commission (SEC) issued proposed rules that would require public companies to include extensive climate-related information in their registration statements and periodic reports.

Disclosure concerning climate-related risks and impacts, oversight and governance of climate-related risks, climate-related financial statement metrics, climate-related goals, and greenhouse gas emissions would become a legal requirement.

A report released on Wednesday revealed that the World's Biggest Banks Continued to Pour Billions into Fossil Fuel Expansion.

The 14th annual Banking on Climate Chaos report, endorsed by 624 organizations from 75 countries, showed that U.S. banks dominate fossil fuel financing, accounting for 28 per cent of all fossil fuel financing in 2022.

JPMorgan Chase remains the world's worst funder of climate chaos since the Paris Agreement. Citi, Wells Fargo, and Bank of America are still among the top 5 fossil financiers since 2016.

Lucie Pinson, executive director and founder of Reclaim Finance, said it is ""business as usual"" for most banks and investors who continue to support fossil fuel developers without any restrictions, despite their high-profile commitments to carbon neutrality.

Despite the recent turmoil in the banking industry, JPMorgan Chase reported a jump in first-quarter profits Friday alongside fellow banking giants Citigroup and Wells Fargo, reassuring investors and easing contagion fears.",['Callum Conway-Shaw'],2023-04-17 12:30:16+01:00
https://www.bloomberg.com/news/articles/2023-04-15/credit-suisse-downfall-offers-rallying-cry-for-left-and-right,Credit Suisse Downfall Offers Rallying Cry for Left and Right,"Moonshot

It's thought that many planetary bodies in our solar system contain liquid water deep below their icy surfaces. NASA is sending a probe, called Europa Clipper, to investigate the potential habitability of one of these ocean worlds.","['Bastian Benrath', 'Follow The Authors']",2023-04-15 00:00:00
https://www.bloomberg.com/news/articles/2023-04-14/federal-reserve-backs-ubs-purchase-of-credit-suisse-us-units,Federal Reserve Backs UBS Purchase of Credit Suisse US Units,"Moonshot

It's thought that many planetary bodies in our solar system contain liquid water deep below their icy surfaces. NASA is sending a probe, called Europa Clipper, to investigate the potential habitability of one of these ocean worlds.","['Katanga Johnson', 'Follow The Authors']",2023-04-14 00:00:00
https://money.usnews.com/investing/news/articles/2023-04-14/fed-approves-ubs-credit-suisse-deal-in-us,Federal Reserve Green Lights UBS-Credit Suisse Deal in US,"By Hannah Lang, Chris Prentice and Ann Saphir

(Reuters) - The Federal Reserve's Board of Governors on Friday said it has approved UBS Group AG's acquisition of the U.S. subsidiaries of Credit Suisse, clearing another major hurdle for the completion of the Swiss-brokered rescue deal.

UBS has committed to give the U.S. central bank an implementation plan for combining its U.S. business and operations with those of Credit Suisse within three months of consummating the deal, the Fed's Board said in a statement. The plan will include more stringent requirements including liquidity standards for the bank, due to the increased size of the institution, the statement said.

The U.S. central bank is required to conduct a review of bank mergers when a bank with more than $250 billion of total assets purchases any voting shares of a company with assets of $10 billion or more.

UBS had requested the Fed's approval of the merger March 22, the Fed said.

After years of scandal and losses, 167-year-old Credit Suisse came to the brink of collapse before Zurich-based rival UBS rode to the rescue with a merger engineered and bankrolled by the Swiss authorities last month. UBS agreed to buy Credit Suisse for 3 billion Swiss francs ($3.3 billion), a fraction of its earlier market value.

The Swiss authorities and UBS Group AG have been racing to close the takeover of Credit Suisse Group AG within as little as a month, in an effort to retain the lender's clients and employees, Reuters previously reported.

UBS secured a temporary approval from European Union antitrust regulators earlier this month but still needs to seek clearance under EU merger rules. The Bank of England has approved the takeover in the United Kingdom, people familiar with the process told Reuters.

UBS has said it expects the deal to create a business with more than $5 trillion in total invested assets.

Under the takeover deal, holders of Credit Suisse AT1 bonds will get nothing, while shareholders, who usually rank below bondholders in compensation terms, will receive $3.23 billion.

The Fed subjects firms with more than $700 billion in assets, or more than $75 billion in cross-jurisdictional activities, to heightened supervision, including annual company-run stress tests and increased liquidity standards.

(Reporting by Chris Prentice, Hannah Lang and Ann Saphir; Editing by Dan Burns, Paul Simao and Diane Craft)","['April', 'At P.M.']",2023-04-14 00:00:00
https://www.msn.com/en-us/money/markets/federal-reserve-approves-ubs-credit-suisse-deal-in-us/ar-AA19Sn0a,Federal Reserve approves UBS-Credit Suisse deal in US,"© Thomson Reuters FILE PHOTO: Logos of Swiss bank UBS and Credit Suisse in Zurich

By Hannah Lang, Chris Prentice and Ann Saphir

(Reuters) - The Federal Reserve's Board of Governors on Friday said it has approved UBS Group AG's acquisition of the U.S. subsidiaries of Credit Suisse, clearing the way for the Swiss-brokered deal in the U.S.

UBS has committed to give the U.S. central bank an implementation plan for combining its U.S. business and operations with those of Credit Suisse, the Fed's Board said in a statement. The plan will include more stringent requirements including liquidity standards for the bank, due to the increased size of the institution, the statement said.

The U.S. central bank is required to conduct a review of bank mergers that would create an institution with total assets of more than $250 billion. The Fed's approval of UBS's application clears a key hurdle for the shotgun merger between the two banks orchestrated last month by the Swiss central bank. After years of scandal and losses, 167-year-old Credit Suisse came to the brink of collapse before Zurich-based rival UBS rode to the rescue with a merger engineered and bankrolled by the Swiss authorities last month. UBS agreed to buy Credit Suisse for 3 billion Swiss francs ($3.3 billion), a fraction of its earlier market value. UBS has said it expects the deal to create a business with more than $5 trillion in total invested assets. Under the takeover deal, holders of Credit Suisse AT1 bonds will get nothing, while shareholders, who usually rank below bondholders in compensation terms, will receive $3.23 billion. The Fed subjects firms with more than $700 billion in assets, or more than $75 billion in cross-jurisdictional activities, to heightened supervision, including annual company-run stress tests and increased liquidity standards.

(Reporting by Chris Prentice, Hannah Lang and Ann Saphir; Editing by Dan Burns and Paul Simao)",[],
