Link,Title,Body,Author,Published
https://www.msn.com/en-us/health/medical/roche-s-tecentriq-shows-further-good-survival-rates-as-cancer-treatment/ar-AA19WMPf,Roche’s Tecentriq shows further good survival rates as cancer treatment,"© sebastien bozon/Agence France-Presse/Getty Images

DOW JONES NEWSWIRES

Roche Holding AG said Sunday that its tecentriq immunotherapy drug showed further positive results in an advanced study, demonstrating significant improvement in recurrence-free survival in patients.

Tecentriq plus Avastin reduced the risk of recurrence of disease by 28% in patients with hepatocellular carcinoma at high risk of recurrence after liver resection or ablation with curative intent, according to new data from the phase-3 study, the Swiss drugmaker said.",[],
https://www.nola.com/sports/high_schools/carvers-nathaniel-roche-named-class-4a-boys-coach-of-year/article_888704ea-db18-11ed-8a66-db27cf5c6338.html,Carver's Nathaniel Roche named Class 4A boys coach of year,"You have permission to edit this article.

Edit Close","['Jake Martin Written For The Lswa', 'Advocate Photo', 'Staff Photo Sophia Germer', 'Robin May']",
https://finance.yahoo.com/news/declining-stock-decent-financials-market-042510486.html,Declining Stock and Decent Financials: Is The Market Wrong About Roche Holding AG (VTX:ROG)?,"Roche Holding (VTX:ROG) has had a rough three months with its share price down 5.9%. However, stock prices are usually driven by a company’s financials over the long term, which in this case look pretty respectable. Particularly, we will be paying attention to Roche Holding's ROE today.

Return on equity or ROE is an important factor to be considered by a shareholder because it tells them how effectively their capital is being reinvested. In other words, it is a profitability ratio which measures the rate of return on the capital provided by the company's shareholders.

See our latest analysis for Roche Holding

How To Calculate Return On Equity?

The formula for return on equity is:

Return on Equity = Net Profit (from continuing operations) ÷ Shareholders' Equity

So, based on the above formula, the ROE for Roche Holding is:

42% = CHF14b ÷ CHF32b (Based on the trailing twelve months to December 2022).

The 'return' is the profit over the last twelve months. Another way to think of that is that for every CHF1 worth of equity, the company was able to earn CHF0.42 in profit.

Why Is ROE Important For Earnings Growth?

So far, we've learned that ROE is a measure of a company's profitability. Depending on how much of these profits the company reinvests or ""retains"", and how effectively it does so, we are then able to assess a company’s earnings growth potential. Assuming all else is equal, companies that have both a higher return on equity and higher profit retention are usually the ones that have a higher growth rate when compared to companies that don't have the same features.

Roche Holding's Earnings Growth And 42% ROE

First thing first, we like that Roche Holding has an impressive ROE. Secondly, even when compared to the industry average of 9.2% the company's ROE is quite impressive. This likely paved the way for the modest 7.6% net income growth seen by Roche Holding over the past five years. growth

Next, on comparing with the industry net income growth, we found that Roche Holding's reported growth was lower than the industry growth of 12% in the same period, which is not something we like to see.

Story continues

The basis for attaching value to a company is, to a great extent, tied to its earnings growth. It’s important for an investor to know whether the market has priced in the company's expected earnings growth (or decline). Doing so will help them establish if the stock's future looks promising or ominous. Is ROG fairly valued? This infographic on the company's intrinsic value has everything you need to know.

Is Roche Holding Making Efficient Use Of Its Profits?

While Roche Holding has a three-year median payout ratio of 56% (which means it retains 44% of profits), the company has still seen a fair bit of earnings growth in the past, meaning that its high payout ratio hasn't hampered its ability to grow.

Moreover, Roche Holding is determined to keep sharing its profits with shareholders which we infer from its long history of paying a dividend for at least ten years. Existing analyst estimates suggest that the company's future payout ratio is expected to drop to 44% over the next three years. Regardless, the ROE is not expected to change much for the company despite the lower expected payout ratio.

Conclusion

On the whole, we do feel that Roche Holding has some positive attributes. The company has grown its earnings moderately as previously discussed. Still, the high ROE could have been even more beneficial to investors had the company been reinvesting more of its profits. As highlighted earlier, the current reinvestment rate appears to be quite low. Having said that, looking at the current analyst estimates, we found that the company's earnings are expected to gain momentum. To know more about the company's future earnings growth forecasts take a look at this free report on analyst forecasts for the company to find out more.

Have feedback on this article? Concerned about the content? Get in touch with us directly. Alternatively, email editorial-team (at) simplywallst.com.



This article by Simply Wall St is general in nature. We provide commentary based on historical data and analyst forecasts only using an unbiased methodology and our articles are not intended to be financial advice. It does not constitute a recommendation to buy or sell any stock, and does not take account of your objectives, or your financial situation. We aim to bring you long-term focused analysis driven by fundamental data. Note that our analysis may not factor in the latest price-sensitive company announcements or qualitative material. Simply Wall St has no position in any stocks mentioned.

Join A Paid User Research Session

You’ll receive a US$30 Amazon Gift card for 1 hour of your time while helping us build better investing tools for the individual investors like yourself. Sign up here",['Simply Wall St'],
https://finance.yahoo.com/news/roche-tecentriq-plus-avastin-reduced-150000050.html,Roche’s Tecentriq plus Avastin reduced the risk of cancer returning in people with certain types of adjuvant liver cancer in a Phase III study,"F. Hoffmann-La Roche Ltd

In the first-ever positive Phase III trial in the adjuvant hepatocellular carcinoma (HCC) setting, Tecentriq plus Avastin reduced the risk of disease recurrence by 28% 1

Up to 80% of people with this type of HCC experience disease recurrence, at which point they are faced with poorer prognosis and shorter survival 2

These data will be presented at the American Association for Cancer Research (AACR) Annual Meeting 2023 and included in the official press programme





Basel, 16 April 2023 - Roche (SIX: RO, ROG; OTCQX: RHHBY) announced today new data from the Phase III IMbrave050 study that show Tecentriq® (atezolizumab) plus Avastin® (bevacizumab) demonstrated a statistically significant improvement in recurrence-free survival (RFS) in people with hepatocellular carcinoma (HCC) at high risk of disease recurrence following liver resection or ablation with curative intent.2

“Four out of five people with HCC who receive surgery with curative intent may still see their cancer return. Thus, an urgent need exists for adjuvant treatments to prevent early recurrence and improve survival rates,” said Levi Garraway, M.D., Ph.D., Chief Medical Officer and Head of Global Product Development. “With Tecentriq plus Avastin already a standard of care in unresectable HCC, we are pleased with the potential of these results and look forward to seeing more mature data.”

The Tecentriq investigational combination reduced the risk of cancer returning by 28%, compared with active surveillance, at a median follow-up of 17.4 months (independent review facility [IRF]-RFS hazard ratio [HR]=0.72, 95% CI: 0.56-0.93; P=0.0120).1 The IRF-RFS findings were generally consistent across clinical subgroups. Overall Survival (OS), a key secondary endpoint, was immature (7% event-rate) at the time of data analysis. The safety data for Tecentriq plus Avastin were consistent with the well-established safety profile of each therapeutic treatment and with the underlying disease.1

Story continues

The late-breaking data will be presented at the AACR Annual Meeting 2023 and have been included as part of the official press programme. Discussions with health authorities are ongoing and follow-up will continue for the final RFS data and more mature OS data at the next planned analysis.

The IMbrave050 study is part of Roche’s overall commitment to drive fundamental treatment change and improve outcomes for people living with liver cancer. Tecentriq plus Avastin was the first treatment in over a decade to significantly improve OS over the existing standard of care, based on data from the IMbrave150 study.3 The Tecentriq combination quickly became a standard of care in unresectable HCC and is clearly defined as a preferred front-line treatment in multiple international clinical guidelines.

About the IMbrave050 study

IMbrave050 is a Phase III global, multicentre, open-label, randomised study evaluating the efficacy and safety of adjuvant Tecentriq plus Avastin, compared with active surveillance, in people with HCC at high risk of recurrence (determined by the size and number of cancerous lesions and the histopathology results, if available) after surgical resection or ablation with curative intent.

The study randomised 668 people with a ratio of 1:1 to receive either Tecentriq (1,200 mg every three weeks) plus Avastin (15 mg/kg every three weeks) for a period of 12 months or 17 cycles, or no intervention with active surveillance. The primary endpoint is independent review facility-assessed RFS. Key secondary endpoints include OS, RFS as determined by the investigator and RFS in patients with PD-L1-positive disease.

About hepatocellular carcinoma

Liver cancer is the third leading cause of cancer death and one of the few cancers where mortality is rising.4,5 More than 900,000 people are diagnosed with the disease globally each year, which translates to one person diagnosed every 90 seconds.4 Nine out of ten cases of HCC are caused by chronic liver disease, which includes chronic hepatitis B and C infection, non-alcoholic fatty liver disease (NAFLD), non-alcoholic steatohepatitis (NASH), alcohol-related liver disease (ALD) and cirrhosis resulting from these conditions.5,6

If diagnosed in the early stage, surgery may be prescribed to remove the primary tumour, however an estimated 70-80% of people with early-stage HCC experience disease recurrence following surgery.2 Early recurrence is associated with poorer prognosis and shorter survival.2,7 Tumour size, number of tumours, and portal vein invasion are associated with an increased risk of recurrence.7

About Tecentriq

Tecentriq is a cancer immunotherapy approved for some of the most aggressive and difficult-to-treat forms of cancer. Tecentriq was the first cancer immunotherapy approved for the treatment of a certain type of early-stage non-small cell lung cancer (NSCLC), small cell lung cancer (SCLC) and HCC. Tecentriq is also approved in countries around the world, either alone or in combination with targeted therapies and/or chemotherapies, for various forms of metastatic NSCLC, certain types of metastatic urothelial cancer, PD-L1-positive metastatic triple-negative breast cancer and BRAF V600 mutation-positive advanced melanoma.

Tecentriq is a monoclonal antibody designed to bind with a protein called programmed death ligand-1 (PD-L1), which is expressed on tumour cells and tumour-infiltrating immune cells, blocking its interactions with both PD-1 and B7.1 receptors. By inhibiting PD-L1, Tecentriq may enable the activation of T-cells. Tecentriq is a cancer immunotherapy that has the potential to be used as a foundational combination partner with other immunotherapies, targeted medicines and various chemotherapies across a broad range of cancers. In addition to intravenous infusion, the formulation of Tecentriq is also being investigated as a subcutaneous injection to help address the growing burden of cancer treatment for patients and healthcare systems.

About Roche

Founded in 1896 in Basel, Switzerland, as one of the first industrial manufacturers of branded medicines, Roche has grown into the world’s largest biotechnology company and the global leader in in-vitro diagnostics. The company pursues scientific excellence to discover and develop medicines and diagnostics for improving and saving the lives of people around the world. We are a pioneer in personalised healthcare and want to further transform how healthcare is delivered to have an even greater impact. To provide the best care for each person we partner with many stakeholders and combine our strengths in Diagnostics and Pharma with data insights from the clinical practice.

In recognising our endeavor to pursue a long-term perspective in all we do, Roche has been named one of the most sustainable companies in the pharmaceuticals industry by the Dow Jones Sustainability Indices for the thirteenth consecutive year. This distinction also reflects our efforts to improve access to healthcare together with local partners in every country we work.

Genentech, in the United States, is a wholly owned member of the Roche Group. Roche is the majority shareholder in Chugai Pharmaceutical, Japan.

For more information, please visit www.roche.com .

All trademarks used or mentioned in this release are protected by law.



References

[1] Chow P, Chen M, Cheng AL, et al. IMbrave050: Phase 3 study of adjuvant atezolizumab + bevacizumab versus active surveillance in patients with hepatocellular carcinoma (HCC) at high risk of disease recurrence following resection or ablation. Presented at American Association for Cancer Research (AACR) Annual Conference 2023; 16 April 2023. Abstract #CT003.

[2] Hack SP, Spahn J, Chen M, et al. IMbrave 050: a Phase III trial of atezolizumab plus bevacizumab in high-risk hepatocellular carcinoma after curative resection or ablation. Future Oncology. 2020;16(15):975-989.

[3] Finn RS, Qin S, Ikeda M, et al. Atezolizumab plus Bevacizumab in Unresectable Hepatocellular Carcinoma. New England Journal of Medicine.2020; 382:1894-1905.

[4] World Health Organization. Liver Cancer Factsheet. Globocan. 2020. Available at: https://gco.iarc.fr/today/data/factsheets/cancers/11-Liver-fact-sheet.pdf . Last accessed: March 2023.

[5] Llovet JM, Kelley RK, Villanueva A, et al. Hepatocellular carcinoma. Nature Reviews Disease Primers. 2021;7(1):6.

[6] McGlynn KA, Petrick JL & El-Serag HB. Epidemiology of Hepatocellular Carcinoma. Hepatology. 2021;73:4-13.

[7] Saito A, Toyoda H, Kobayashi M, et al. Prediction of early recurrence of hepatocellular carcinoma after resection using digital pathology images assessed by machine learning. Modern Pathology. 2021. 34:417-425.

Roche Group Media Relations

Phone: +41 61 688 8888 / e-mail: media.relations@roche.com

Hans Trees, PhD

Phone: +41 79 407 72 58

Nathalie Altermatt

Phone: +41 79 771 05 25



Karsten Kleine

Phone: +41 79 461 86 83 Nina Mählitz

Phone: +41 79 327 54 74



Dr. Barbara von Schnurbein

Phone: +41 79 699 97 44 Sileia Urech

Phone: +41 79 935 81 48





Roche Investor Relations

Dr. Bruno Eschli

Phone: +41 61 68-75284

e-mail: bruno.eschli@roche.com Dr. Sabine Borngräber

Phone: +41 61 68-88027

e-mail: sabine.borngraeber@roche.com



Dr. Birgit Masjost

Phone: +41 61 68-84814

e-mail: birgit.masjost@roche.com Dr. Gerard Tobin

Phone: +41 61 68-72942

e-mail: gerard.tobin@roche.com





Investor Relations North America

Loren Kalm

Phone: +1 650 225 3217

e-mail: kalm.loren@gene.com

Attachment



",['F. Hoffmann-La Roche Ltd'],
https://www.msn.com/en-ie/sports/more-sports/ben-healy-lands-second-place-finish-at-amstel-gold-equaling-stephen-roche/ar-AA19XdTK,Ben Healy lands second place finish at Amstel Gold equaling Stephen Roche,"© Luc Claessen/Getty Images Ben Healy and Thomas Pidcock

Ben Healy, 22, emulated the great Stephen Roche from 1982 and became just the third Irish rider in history to claim a podium finish by finishing second in the Amstel Gold Race on Sunday.

The result follows several electrifying performances this season, and Sunday's performance served as further evidence that the EF Education-EasyPost rider has attained the pinnacle of the sport.

After eliminating a number of sports greats, including Olympic Champion and British phenomenon Tom Pidcock in the final 10 kilometers.

Healy was only 40 seconds behind world number one and two-time Tour de France champion Tadej Pogacar. (UAE Team Emirates)

“I knew I had good legs, and I knew I had to ride a smart race as well to finish second today,” Healy said after the race.

“That’s what I did, and it paid off for me in the end.

“I was quietly confident. I rode a very aggressive race at Brabantse and I knew with a few bigger names here I would get the luxury of maybe missing few turns, which is what I did. It played to my advantage in the end.”

READ NEXT:

Get the latest sports headlines straight to your inbox by signing up for free email alerts",[],
https://pharmaphorum.com/news/roche-launches-its-decision-making-algorithm-marketplace,Roche launches its decision-making algorithm marketplace,"In a further sign of pharma embracing digital technologies, Roche has launched a library of medical algorithms designed to make clinical decision-making faster and more tailored to patients.

The navify suite is a marketplace-like platform that offers clinicians access to various algorithms developed by Roche or its partners, starting off with algorithms aimed at identifying patients who are at risk of developing certain cancers.

Roche pulled its portfolio of more than 30 digital health offerings for infrastructure, operations, clinical decision support, and screening tools together last year under the navify brand, promising that the software would help improve operational processes and clinical decision making in healthcare.

Moritz Hartmann, Roche

At the time, Moritz Hartmann – global head of information solutions at Roche Diagnostics – explained that the objective is to create an open digital ecosystem with labs, hospitals, and medtech companies to bring the latest innovations faster to society.

“As healthcare data is set to grow annually by 36%, digital medical algorithms can generate actionable insights, which physicians can use to start delivering on the promise of personalised healthcare,” said Hartmann.

“With navify Algorithm Suite, clinicians can easily order the medical algorithms they need from Roche and other providers, to get enhanced insights that improve patient care,” he added.

The company cites data that estimates that limited ability to connect and share data in the US healthcare system results in costs of around $30 billion a year, and will be exacerbated by a shortage of healthcare workers predicted to reach 15 million worldwide by 2030.

The navify suite will make it easier for physicians to use and adopt medical algorithms, and give universities and other providers of digital algorithms a direct channel to distribute their software.

The first algorithms to be included are focused on cancer, and include GAAD, which has been developed to assist in the diagnosis of early-stage hepatocellular carcinoma (HCC) – the most common form of liver cancer – in patients with chronic liver disease.

Also in the initial range is the ColonFlag algorithm from the Medial EarlySign company, which helps identify patients at high-risk for colon cancer by analysing age, sex, and a recent complete blood count.

Additional medical algorithms for oncology, cardiology, and other diseases, such as lung and infectious diseases, are in the pipeline, said Roche.

The new navify ecosystem will be showcased by Roche at the forthcoming Healthcare Information and Management Systems Society (HIMSS) annual conference in Chicago on 17th to 21st April. It is currently available in Europe and Asia-Pacific.",[],
https://www.archpaper.com/2023/04/archive-yale-university-new-website-continue-legacy-architect-kevin-roche/,An archive at Yale University continues legacy of Kevin Roche,"Yale University Library’s Manuscripts and Archives has acquired an archive of the career of architect Kevin Roche. Roche’s family has donated correspondence, project documentation, interviews, drawings, and photographs from the architectural firm of Kevin Roche John Dinkeloo and Associates (KRJDA) to cement the architect’s legacy. In addition to the archive at Yale, a legacy website for KRJDA has also launched.

Work on the archival project started in 2007. Robert A.M. Stern, then dean of the Yale School of Architecture, supported the project from the beginning. “The Kevin Roche archive is one of the most important resources for the study and appreciation of post-war architecture,” he noted in a press release “International in scope and brilliantly occupying the crossroads of corporate post-modernism, it documents the work of a major talent.”

Roche, who was born in Ireland, launched his architectural career working in the Michigan office of Eero Saarinen after Saarinen passed away in 1961. Roche moved east, then founded and led his own firm alongside John Dinkeloo, and completed many of Saarinen’s designs, among this the St. Louis Gateway Arch and the TWA Terminal at JFK Airport. Roche went on to win the Pritzker Prize in 1982. In 2021, following Roche’s death in 2019, the firm rebranded as Roche Modern and continues to operate from an office in Connecticut under the direction of Jerry Boryca and Eamon Roche, Kevin’s oldest son.

The archive includes 789 boxes of Roche’s personal and professional correspondence along with 954 drawing tubes, 64,000 4×5 transparencies, and over 88,000 35mm slides. Archivist Linda Scinto has been responsible for sifting through the materials and objects, cataloging, packaging, and transferring them. Scinto began working at KRJDA in 1997 as an interior designer and worked as Roche’s executive assistant from 2011 to 2019.

“It was an honor to be chosen by Kevin Roche to be the lead archivist on such a monumental project and I am delighted that people will be able to study the collection today and in the future,” Scinto said in a statement.

Among the items in the collection are drawings and plans for several corporate headquarters designed by KRJDA, including the Ford Foundation, Cummins, and ConocoPhillips, as well as a number of museum renovation projects, theaters, and university buildings.

Items in the archive are listed online by project name. They are physically stored at Yale University’s archive locations.)

In addition to the archive at Yale, the Roche family has also produced an archival website that highlights the history of the firm, the people who shaped it, and information on putting together the archive. It also showcases KRJDA’s portfolio with project imagery and building models.

“Speaking on behalf of my siblings we are delighted to have been able to fulfill our father’s commitment to form this comprehensive archive of KRJDA’s mid to late 20th Century architecture. We are so grateful for Bob Stern’s instigation of the effort in the first place, to Yale for their partnership and of course for the fifteen years of documentation and cataloging put forward by the team at KRJDA,” Eamon Roche said.

The completed archive and the new website follow an announcement last year that the architect’s family would reallocate the money received from Roche’s Pritzker Prize award to launch a scholarship program in the name of Roche and his wife Jane, who he met while working for Saarinen.",['Kristine Klein'],2023-04-12 20:25:07+00:00
https://www.msn.com/en-ie/sports/cycling/ben-healy-emulates-stephen-roche-with-second-place-finish-at-amstel-gold/ar-AA19VQdC,Ben Healy emulates Stephen Roche with second-place finish at Amstel Gold,"© Desk Prod Ben Healy of Ireland and Team EF Education-EasyPost crosses the finish line in second place during the 57th Amstel Gold Race. Photo: Getty

Irish national time trial champion Ben Healy continued his superb run of early-season form when he finished second at the prestigious Amstel Gold Race in the Netherlands.

Healy matched the best Irish result in the Dutch one-day Classic 41 years after Stephen Roche finished second behind five-time home winner Jan Raas. The 22-year-old Healy finished behind two-time Tour de France winner Tadej Pogacar (UAE Emirates) after spending much of the 253km-long race in the front group.

Healy, who also finished second in Belgian Classic Brabantse Pijl on Wednesday, was part of a 16-strong group that went clear at the front with about 100km of racing remaining.

“At that point we still had Neilson (Powless) behind,” Healy told Independent.ie. “He was our main leader for the team, so I kind of got a free ride. I was still rolling through but not really pulling hard turns which definitely helped me in the finale.

“Then, as we got closer to the finish, it was a super attritional race. A lot of guys were hurting in that break. You really had to race carefully today, because an important move could happen at any time. Those kind of circumstances suit me well but I think other riders had more trouble with that.""

Of that front group, only Healy and British rider Tom Pidcock (Ineos Grenadiers) were able to follow an attack by Pogacar on the climb of the Eyserbosweg with 36km to go.

Pogacar, who has taken three stage victories and the overall at both Paris-Nice and the Vuelta a Andalucia this year as well as the cobbled Belgian Monument the Tour of Flanders, shrugged off an earlier bike change to drive open a gap to the chasers before simply riding his fellow escapees off his wheel on the climb of the Kautenberg with 28km to go.

twitter

Although Healy lost contact first, the EF Education-Easypost pro managed to claw his way back up to Pidcock and the duo put in a concerted chase before Healy attacked his former Trinity Racing team-mate with 14km to go.

“We kept working pretty well together, but the first time up the Cauberg I could just feel that his legs were hurting so I gave it a dig on the next climb,” said Healy, whose strong time-trialling skills saw him close to within 20 seconds of Pogacar at one point before growing out to 38 seconds by the line, where a very impressive Healy finished a minute and a half clear of Pidcock to claim the second step on the podium.

“I had a bit of a ride to the finish but it was good,” said the 22-year-old. “I think that dig closed the gap a bit but as soon as Pogacar heard the gap was coming down he clearly had more in reserve and pulled away again. The legs were good today so it was nice to prove to myself that I can do it in good company. Second to the best in the world, I can’t be unhappy with that.”

With two victories already under his belt and two white jerseys for best young rider at the Tour de Pays Loire and the Coppi e Bartali stage races respectively, it’s been a breakout season for Healy, who tackles Fleche-Wallonne on Wednesday and Liege-Bastogne-Liege on Sunday.

“I really took a step up this year, which is great. The legs were very good again today and I hope to continue this run of form.”

Healy’s podium placing capped a great weekend for young Irish riders as Darren Rafferty took fifth place in the U-23 Liege-Bastogne-Liege classic on Saturday, just days after finishing in the same position at the prestigious Giro del Belvedere U-23 race. Meanwhile, Offaly rider Megan Armitage finished fourth at the Grand Prix Feminin de Chambery.

GAA, rugby, soccer and more - receive the best sport action and all the analysis you need straight to your inbox every lunchtime.",[],
https://news.yahoo.com/cheyenne-roche-look-bright-side-194600102.html,Cheyenne Roche: Look on the bright side,"Apr. 13—I start each work day by filling out my planner. I like a daily planner with a big spot for my to-do list — none of that hour by hour stuff. Finally this year I caved and bought a custom planner.

I have a spot for the stories I'm going to run that day, my interviews and meetings, my meals, a daily Bible verse and a spot for my daily gratitude.

The Mayo Clinic Health System says expressing gratitude is associated with a host of mental and physical benefits. Studies have shown feeling thankful can improve sleep, mood and immunity. Gratitude can decrease depression, anxiety, difficulties with chronic pain and risk of disease.

Some days I write multiple things I'm grateful for, and others I stare at the blank section, struggling. I don't look for anything too big or profound. Today I'm grateful for yesterday's sunshine and my first outing in shorts this season.

I'm often grateful for my husband, a clean house or a good book. It helps me start my day with a burst of positivity.

Consistently utilizing this practice has helped me put things into perspective.

I've always had a hard time with people quick to complain. I think it's largely due to the pressure I put on myself to make others happy. When other people complain, I blame myself for the situation. That being said, I've noticed an increase in complaints here lately that have nothing to do with me.

Probably the most confounding complaining I've heard recently surrounds the new business — Creston Liquor, preparing to open next month. Many of the comments say Creston doesn't need another place selling alcohol. Others say we should be focusing on things for kids and teenagers to do rather than something like this.

That space has sat empty since 2020 when Hibbett Sports went out of business. Someone who already owns liquor stores made the choice to set up shop in our community and give that space meaning.

If you don't like alcohol, don't shop there. If you want to support Hy-Vee or Casey's or wherever else to buy your alcohol, do that. There's just no need for complaining about someone bringing business to town.

Story continues

I for one, hope he stocks Ole Smoky's cookie dough whiskey. The closest place to get it is in Minneapolis or Madison.

As far as the comments about more things in our community for children — it shouldn't be some guy from Des Moines' responsibility to ensure Creston has enough for kids to do.

That's our job. Any one of us in the community could take the initiative to start something additional, but no one has.

In addition to those complaints, I've seen a deluge of upset comments surrounding food trucks, rental inspections and property assessments. But let's just talk about the last one.

Properties had not been appraised, in some cases, for an exorbitant number of years. That isn't the property owner's fault, but realistically, many should have been paying more in taxes for the last several years. The fact it's just now going up should be considered a blessing for some people.

Yeah, I get it — no one wants to pay more. No one wants taxes to go up. But if you make your house worth more money or if your house is simply worth more due to the nature of the real estate market, you will have to pay more. End of story.

The Iowa Department of Revenue states all real property is assessed every odd-numbered year. Residential, commercial, industrial and state assessed properties are to be valued at actual value or market value.

Ask yourself if your property has been assessed every odd-numbered year? If not and your taxes went up this year, you've saved money. Let the people do their jobs.

We did nothing to our home and our valuation went up $30,000 from when we bought it in 2019. It's the nature of the economy.

If you find yourself worked up over one of these topics, take a minute. Think about the things in your life you are grateful for. Think of your loved ones and the sun in the sky and the money in your bank account.

If a new business coming to Creston is the worst thing happening in your life, I'd say you've got a lot to be grateful for.","['Cheyenne Roche', 'The Creston News Advertiser']",
https://www.winnipegfreepress.com/breakingnews/2023/04/14/la-roche-on-the-road-to-recovery,La Roche on the road to recovery,"Winnipeg’s Shae La Roche is the oldest and most seasoned member of the Canadian women’s water polo team.

The 30-year-old athlete’s absence from the lineup during the recent Pan Am Aquatics Championships in Bauru, Brazil was not a signal she was winding down her international career.

Instead, the Grant Park High School grad is taking time to recuperate following surgery 13 days ago to repair an injured left shoulder.

Diane Bekhazi photo Winnipeg native Shae La Roche is looking forward to competing for Canada in Pan Am and Olympic games qualifiers.

La Roche is eyeing a possible mid-summer return to a national team that won gold in Brazil to qualify for the 2023 World Aquatics Championships, July 14-30 in Fukuoka, Japan.

“It’s my left shoulder — people think, ‘Oh, you’re not throwing with it,’ but we’re doing so much. We’re swimming, pushing, pulling and being pulled,” said La Roche from her home base in Laval, Que., earlier this week. “I kind of battled the injury for a while and then it just got to the point where it clearly needed surgery…

“It’ll be a good three, four months recovery, but then I’ll actually be really good to go for an Olympic year.”

Shoulder and hip injuries tend to be the most common long-term ailments in the sport. National team head coach David Parelda suggested a careful approach to La Roche’s rehabilitation process.

“She’s a great athlete and she’s been dealing with a lot of injuries before and she’s always been very professional about about it,” Paradelo said Friday from a training camp in Rome. “She’s a veteran and basically the success of her surgery and the recovery following through will pretty much dictate (her return). There’s been some different shoulder injuries on the team in the past (quadrennial) and they’ve all recovered very professionally and are back to play.

“This surgery has a six-month period without playing and if things go according to plan, I think she’ll be ready for that time.”

The 5-5 left wing is confident she will be in top form before long.

“It’s totally doable and actually it’s nice that it’s is my left (shoulder), not my right so I don’t have to learn to re-throw,” said La Roche. “I’m using it a lot but it’s not really the same as your dominant arm and luckily, like through rehab, I have my dominant arm to do everything. It was more of a decision just so that I would be able to play. The surgery wouldn’t have been as necessary if I didn’t want to be an athlete.”

The worlds in Fukuoka will be the first opportunity for the Canadian women to qualify for the 2024 Paris Olympics with a subsequent opportunity to qualify at the Pan Am Games, scheduled for Oct. 20-Nov. 5 in Santiago, Chile.

“The top two teams (from Kukuoka) are qualified for the Olympics,” said Paradelo. “Of course, our hope is that this happens sooner than later. It will be a tough one, but it’s feasible.”

Winnipeg Free Press | Newsletter Mike McIntyre | On Sports Thursdays Keep up to date on sports with Mike McIntyre's weekly newsletter. Sign Up I agree to the Terms and Conditions, Cookie and Privacy Policies, and CASL agreement.

La Roche and the Canadian team finished seventh at the Tokyo Olympics in 2021 while placing ninth at the 2022 worlds in Hungary.

Since graduating from Indiana University in 2014, she’s lived full time in Laval to be close to the national team training site in Montreal, with the exception of time spent with SIS Roma in the Italian pro league.

La Roche did not consider opting for retirement instead of surgery.

“There was never really a thought of retiring (this year),” said La Roche. “Because the plan is to retire after these Olympics. But even after that I want to be able to play club with my friends and my husband plays and I don’t want to have to stop water polo and never use my shoulder again.”

mike.sawatzky@freepress.mb.ca",['Mike Sawatzky'],2023-04-14 00:00:00
