Link,Title,Body,Author,Published
https://www.msn.com/en-us/money/savingandinvesting/credit-suisse-fund-outflows-widen-to-56-billion-following-ubs-tie-up/ar-AA19X5cQ,Credit Suisse fund outflows widen to $5.6 billion following UBS tie-up,"FINANCIAL NEWS

Outflows from Credit Suisse branded investment funds have accelerated in the weeks since its historic merger with Swiss rival UBS, as investors continue to redeem billions of dollars.

Data provided to Financial News by Morningstar shows net outflows from around 300 EU and US domiciled Credit Suisse funds have reached $5.6 billion over the three weeks since the tie-up.

The latest outflows will pile pressure on the merged firm; investors had already pulled around $3 billion from Credit Suisse funds in the week surrounding the shotgun wedding.

The latest figures show an additional $2.5 billion of net outflows from Credit Suisse funds between March 23 and April 6.

“It is fair to say that there is still uncertainty around the deal and the potential impact that it may have on Credit Suisse Asset Management,” Johann Scholtz, an equity analyst at Morningstar told FN.

Heavy outflows from Credit Suisse funds began on March 14, the day the bank said it had discovered “material weaknesses” in its financial reporting controls.

Credit Suisse declined to comment.

The largest daily outflows remain those recorded on March 21 — two days after the landmark deal was announced — when $776 million was pulled from Credit Suisse’s European funds.

Despite the steady outflows in recent weeks, the Morningstar figures show Credit Suisse’s European funds posted net inflows of more than $240 million over April 5 and April 6 — an early indication that investor jitters are starting to subside.

The flows data does not include all the asset manager’s funds in Europe and the U,S,, and represents only those funds that report daily figures to Morningstar.

Laith Khalaf, head of investments at online platform AJ Bell, said the bulk of fund outflows in the days surrounding the tie-up with UBS was likely driven by investors worried about the stability of Credit Suisse and those spooked by wider banking sector turmoil.

“Those assets should be ring-fenced in the event of an insolvency, but investors might have decided that a belt-and-braces approach was required given the febrile market conditions at the time,” he said.

The $3.25 billion tie-up between UBS and Credit Suisse — the biggest merger between two systematically integral banks since the 2008 global financial crisis — also combined the banks’ respective asset management units, creating Europe’s largest money manager with $1.5 trillion.

UBS announced on March 29 that former boss Sergio Ermotti would return to oversee the merger. Ermotti, who stepped down as UBS chief in 2020 after nine years in the role, took over from Ralph Hamers at the start of April.

Analysts told FN last month that Ermotti would likely face significant challenges bringing together the two management arms, citing differences in corporate cultures, overlapping product ranges and technology issues.

Scholtz said some outflows in recent weeks may have been driven by Credit Suisse’s wealth management clients moving to other firms to “lower their concentration risk” if they are already using similar wealth products and services offered by UBS.

Similarly, some institutional investors with allocation to Credit Suisse funds may want to diversify if they are also UBS Asset Management clients, he said.

This story originally appeared at FNLondon.com",[],
https://finance.yahoo.com/video/ubs-boj-track-policy-normalization-044707002.html,UBS: BOJ On Track For Policy Normalization,"UBS Global Wealth Management Commodities & FX Managing Director Wayne Gordon believes the Bank of Japan remains on track for policy normalization. He speaks with Yvonne Man and Rishaad Salamat on ""Bloomberg Markets: Asia"".",[],
https://money.usnews.com/investing/news/articles/2023-04-14/fed-approves-ubs-credit-suisse-deal-in-us,Federal Reserve Green Lights UBS-Credit Suisse Deal in US,"By Hannah Lang, Chris Prentice and Ann Saphir

(Reuters) - The Federal Reserve's Board of Governors on Friday said it has approved UBS Group AG's acquisition of the U.S. subsidiaries of Credit Suisse, clearing another major hurdle for the completion of the Swiss-brokered rescue deal.

UBS has committed to give the U.S. central bank an implementation plan for combining its U.S. business and operations with those of Credit Suisse within three months of consummating the deal, the Fed's Board said in a statement. The plan will include more stringent requirements including liquidity standards for the bank, due to the increased size of the institution, the statement said.

The U.S. central bank is required to conduct a review of bank mergers when a bank with more than $250 billion of total assets purchases any voting shares of a company with assets of $10 billion or more.

UBS had requested the Fed's approval of the merger March 22, the Fed said.

After years of scandal and losses, 167-year-old Credit Suisse came to the brink of collapse before Zurich-based rival UBS rode to the rescue with a merger engineered and bankrolled by the Swiss authorities last month. UBS agreed to buy Credit Suisse for 3 billion Swiss francs ($3.3 billion), a fraction of its earlier market value.

The Swiss authorities and UBS Group AG have been racing to close the takeover of Credit Suisse Group AG within as little as a month, in an effort to retain the lender's clients and employees, Reuters previously reported.

UBS secured a temporary approval from European Union antitrust regulators earlier this month but still needs to seek clearance under EU merger rules. The Bank of England has approved the takeover in the United Kingdom, people familiar with the process told Reuters.

UBS has said it expects the deal to create a business with more than $5 trillion in total invested assets.

Under the takeover deal, holders of Credit Suisse AT1 bonds will get nothing, while shareholders, who usually rank below bondholders in compensation terms, will receive $3.23 billion.

The Fed subjects firms with more than $700 billion in assets, or more than $75 billion in cross-jurisdictional activities, to heightened supervision, including annual company-run stress tests and increased liquidity standards.

(Reporting by Chris Prentice, Hannah Lang and Ann Saphir; Editing by Dan Burns, Paul Simao and Diane Craft)","['April', 'At P.M.']",2023-04-14 00:00:00
https://www.bloomberg.com/news/articles/2023-04-14/ubs-has-held-talks-with-former-cfo-naratil-about-possible-return,UBS Has Held Talks With Former CFO Naratil About Possible Return,"Bloomberg Daybreak

Bloomberg Daybreak, anchored from New York, Boston, Washington DC and San Francisco provides listeners with everything they need to know. Hear the latest economic, business and market news, as well as global, national, and local news.","['Ambereen Choudhury', 'Katherine Griffiths', 'Gillian Tan', 'Myriam Balezou', 'Ambereen Choudhury Katherine Griffiths Gillian Tan Myriam Balezou', 'Follow The Authors']",2023-04-14 00:00:00
https://news.yahoo.com/swiss-vote-against-ubs-deal-131801231.html,"Swiss Vote Against UBS Deal Could Be Binding, Legal Experts Say","(Bloomberg) -- The Swiss parliamentary vote last week against state guarantees for UBS Group AG’s takeover of Credit Suisse Group AG may prove more than just symbolic, some legal experts have told the Swiss media.

Most Read from Bloomberg

The government has argued that no matter the outcome of the vote, the state’s 109 billion francs ($122 billion) in guarantees for UBS to takeover Credit Suisse are binding. The government says that’s because a small number of lawmakers — the financial delegation — gave their approval at the time the deal was negotiated in March.

Neue Zuercher Zeitung and Tages-Anzeiger, the main German language newspapers, cited the same emergency law expert who disagrees with the government’s assessment. Both reports also referred to specialists who agreed with the government’s view or acknowledged there was a gray area. One suggested that lawmakers might have voted differently if they thought their ballot actually mattered.

Blick am Sonntag cited a legal expert who said parliament’s views should count, but one needs to take into account what legal obligations the government entered into before parliament said “no.” Those remain in place due to the protection of legitimate expectations and legal certainty.

Meanwhile, the parties that opposed the guarantees — Swiss People’s Party, Greens and Social Democrats — are seeking clarification, Tages-Anzeiger reported.

“What applies must now be clarified,” also in regard to future emergency decisions by the government, said Gregor Rutz, from the SVP, who also spoke of a legal gray area. He is planning to submit an application to the state political commission next week for an investigation, Tages-Anzeiger said.

Story continues

Most Read from Bloomberg Businessweek

©2023 Bloomberg L.P.",['Claudia Maedler'],
https://www.msn.com/en-us/money/markets/fed-approves-ubs-acquisition-of-credit-suisses-us-business/ar-AA19Sadf,Fed approves UBS' acquisition of Credit Suisse's U.S. business,"NYSE: UBS) acquisition of Credit Suisse's U.S. subsidiaries, more than a week after the proposed $3.25B takeover of the Swiss lender was reportedly cleared by The Bank of England.

UBS (UBS) has committed to provide the Fed board an implementation plan for combining the U.S. business and operations of the merged entity.

The plan, which will be updated quarterly, ""will address UBS' (UBS) obligations to comply with more stringent enhanced prudential standards, including liquidity standards,"" the Fed said in a statement.

The takeover was voted down by Swiss parliament's lower house days earlier. But this was mostly symbolic as a parliamentary commission already approved the rescue plan for Credit Suisse (CS), which mostly involved guarantees through the Swiss central bank, not parliament.

Note that Switzerland's attorney general office is looking into events surrounding the takeover.

More the Bank Crisis

Now read: Credit Suisse: Brace For Turmoil",[],
https://www.msn.com/de-de/finanzen/top-stories/ubs-hat-mit-ex-cfo-naratil-%C3%BCber-m%C3%B6gliche-r%C3%BCckkehr-gesprochen/ar-AA19RLF8,UBS hat mit Ex-CFO Naratil über mögliche Rückkehr gesprochen,"© Bloomberg A footbridge linking buildings of a UBS Group AG office in Zurich, Switzerland, on Tuesday, March 21, 2023. Recruiters across the world are getting an unprecedented flood of calls from Credit Suisse Group AG bankers seeking new jobs as the embattled Swiss lender is set to be taken over by UBS.",[],
https://www.straitstimes.com/business/swiss-vote-against-state-guarantees-for-ubs-takeover-of-credit-suisse-could-be-binding-legal-experts-say,"Swiss vote against state guarantees for UBS takeover of Credit Suisse could be binding, say legal experts","ZURICH – The Swiss parliamentary vote last week against state guarantees for UBS Group’s takeover of Credit Suisse Group may prove more than just symbolic, some legal experts have told the Swiss media.

The government has argued that no matter the outcome of the vote, the state’s 109 billion francs (S$162.4 billion) in guarantees for UBS to takeover Credit Suisse are binding.

The government says that is because a small number of lawmakers – the financial delegation – gave their approval at the time the deal was negotiated in March.

Neue Zuercher Zeitung and Tages-Anzeiger, the main German language newspapers in Switzerland, cited the same emergency law expert who disagrees with the government’s assessment.

Both reports also referred to specialists who agreed with the government’s view or acknowledged there was a grey area. One suggested that lawmakers might have voted differently if they thought their ballot actually mattered.

Blick am Sonntag cited a legal expert who said Parliament’s views should count, but one needs to take into account what legal obligations the government entered into before Parliament said “no”. Those remain in place due to the protection of legitimate expectations and legal certainty.

Meanwhile, the parties that opposed the guarantees – Swiss People’s Party (SVP), Greens and Social Democrats – are seeking clarification, Tages-Anzeiger reported.

“What applies must now be clarified,” also in regard to future emergency decisions by the government, said Mr Gregor Rutz, from the SVP, who also spoke of a legal grey area.

He is planning to submit an application to the state political commission next week for an investigation, Tages-Anzeiger said. BLOOMBERG",[],2023-04-17 14:00:37+08:00
https://www.barrons.com/articles/top-100-private-wealth-management-teams-ubs-5e448b0e,How This UBS Megateam Is Building Portfolios Now,"Few clients in the past 15 years have asked UBS Private Wealth Management advisors David Hollenbaugh and Alex Williams for more exposure to international stocks. But Hollenbaugh, Williams, and partners Peter Rukeyser and Wayne Safro have been offering clients just that. “People, of course, tend to look at what has worked, but we would encourage people to look ahead at what the market is offering in terms of valuation, growth, and potential reward,” Hollenbaugh says.

Their 18-person team oversees $5 billion in assets on behalf of wealthy families, entrepreneurs, and endowments. Hollenbaugh and Williams talked about how they’re positioning client portfolios and how they foster esprit de corps in a team that is spread across three metropolitan areas.",['Andrew Welsch'],
https://www.investmentnews.com/ubs-in-talks-with-former-executive-naratil-about-possible-return-236372,UBS in talks with former executive Naratil about possible return,"Former UBS Group veteran Tom Naratil has held talks about returning to the bank as part of a broader outreach by Chief Executive Sergio Ermotti, people with knowledge of the matter said.

Ermotti has reached out to a select number of high-profile former UBS bankers to gauge their interest in rejoining, the people said, asking not to be identified as the matter is private. It’s unclear what role may be under discussion for Naratil, who left the bank just six months ago. In almost four decades at the firm he held a number of senior positions, including president of UBS Americas, co-head of wealth management and chief financial officer.

UBS brought back Ermotti, chairman of Swiss Re, as CEO earlier this month to oversee the historic acquisition of Credit Suisse Group after its rival almost collapsed. UBS has already tapped strategy consultant Oliver Wyman for help on the integration, reconnecting Ermotti with former adviser Huw van Steenis, vice chair of the firm, who left the Swiss bank under former CEO Ralph Hamers.

A spokesman for UBS declined to comment. Naratil wasn’t immediately available to comment.

Ermotti may enlist longtime allies with investment banking and finance division experience to help with the massive integration effort of Credit Suisse, a firm that had material weaknesses in its financial reporting and brings a money-losing investment bank. UBS CFO Sarah Youngwood has been in her role for less than a year after being brought in by Hamers, while investment bank chief Rob Karofsky has a trading rather than dealmaking background.

UBS named Karofsky sole head of its investment banking unit in February 2021, elevating its top trader after co-president Piero Novelli accepted a job as chairman of the Euronext stock exchange. He joined UBS in 2014, helping drive a digital transformation of the markets unit, an area Hamers had wanted to focus on.

Naratil stepped down as the joint leader of the key wealth unit and president of UBS’s business in the Americas late last year. As well as previously serving as CFO during Ermotti’s first term, he was also chief risk officer for wealth management in the Americas.

UBS elevated Iqbal Khan as sole head of the global wealth management business and appointed Naureen Hassan to succeed Naratil as president of UBS Americas and chief executive officer of UBS Americas Holding.

Last month, UBS agreed to acquire its local rival in an emergency, government-backed rescue after Credit Suisse lost the confidence of investors, clients and other banks following a string of scandals, losses and client outflows. The combination of the two major banks has the potential to create a wealth management powerhouse with some $5 trillion in invested assets.

A strong finance function is a priority for Ermotti to ensure confidence after Credit Suisse’s troubles included problems with its annual report, and because of the challenges ahead, including winding down problem assets and potentially spinning off its Swiss domestic business, according to one of the people.

Khan, who helped run Credit Suisse’s wealth business for several years before jumping to UBS in 2019, has already been on the road courting his former colleagues to stick around as his bank aims to halt a talent exodus before the deal closes, Bloomberg News reported.",[],2023-04-14 14:51:24+00:00
https://www.barrons.com/articles/the-dollars-era-of-outperformance-is-ending-how-to-step-away-fffae76d,"4 Ways to Reduce Dollar Exposure, According to UBS","This commentary was issued recently by money managers, research firms, and market newsletter writers and has been edited by Barron's.

Diversify Beyond the Dollar

UBS House View - Daily U.S.

UBS Investments

April 14: USDSGD [U.S. dollar to Singapore dollar exchange rate] eased slightly on Friday after Singapore’s central bank unexpectedly held its monetary policy steady, ending a run of five straight moves to tighten. The Monetary Authority of Singapore, or MAS, statement points to rising risks in the global economy and Singapore, including a “below-trend pace of growth” at home. The MAS joined central bank peers in Canada, Australia, India, and South Korea in electing to pause their inflation fights as growth risks mount.",[],
https://www.msn.com/en-us/money/news/most-revenue-cuts-already-priced-in-to-bank-stocks-says-ubss-erika-najarian/vi-AA19Rxhi,"Most revenue cuts already priced in to bank stocks, says UBS's Erika Najarian",You are using an older browser version. Please use a supported version for the best MSN experience.,[],
https://www.cnbc.com/2023/04/12/ubs-says-its-time-to-buy-this-banking-giant-with-very-low-risk-ahead.html,UBS says it's time to buy this banking giant with very low risk ahead,"Goldman Sachs is attractively priced with minimal risk ahead, according to UBS. UBS thinks that heightened levels of uncertainty in the market — particularly surrounding banking stocks — presents a tailwind for the banking giant's trading businesses. Analyst Brennan Hawken upgraded shares to buy from neutral in a Tuesday note. He also increased his price target to $385 from $350. The new target implies upside of 17.6% from Tuesday's close price. ""The firm also has an opportunity to accelerate the growth of their [asset and wealth management] platform and their transactional banking business through attractively priced M & A, especially if stress in the banking system presents further inorganic opportunities,"" said Hawken. The analyst noted that even as revenue in the investment banking sector declined last year, the strength of Goldman Sachs' trading business helped offset that slowdown. Total trading was up 16% in 2022, which Hawken notes was the best among U.S. big banks, while investment banking revenue dropped 48%. UBS also said Goldman's push into expanding its financing business has helped lower its revenue volatility. Meanwhile, UBS view's management's decision to potentially sell or wind down its enterprise partnerships and point-of-sale lending business lines as a promising effort in de-risking the company from loss-producing headwinds. Hawken added that, ""As a [Global Systemically Important Bank], the firm is already subject to the highest capital requirements, so while Basel 4 certainly could increase capital requirements, the changes should be less significant than for regional banks."" Basel IV refers to a set of proposed banking reforms created after the 2008 financial crisis that were implemented starting Jan. 1. Shares were up 0.5% Wednesday during premarket trading. The stock has lagged the S & P 500 this year, losing 4.6%. Over the past 12 months, though, it's up 2.4%. —CNBC's Michael Bloom contributed to this report.","['Hakyung Kim', 'Https', 'Www.Linkedin.Com In Hakyungkim']",2023-04-12 00:00:00
https://www.forbes.com/sites/joanverdon/2023/04/12/50000-stores-to-close-by-2027-due-to-spending-shifts-tight-credit/,"50,000 U.S. Stores Could Close By 2027 Because Of Spending Shifts And Tight Credit, UBS Forecasts","Investment bank UBS is forecasting that some 50,000 U.S. stores will close by the end of 2027. (AP ... [+] Photo/Paul Sakuma) Copyright 2009 AP. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.

Analysts at investment bank UBS are forecasting that some 50,000 U.S. stores are likely to close by the end of 2027, because of expected cutbacks in consumer spending, tighter credit and the continued shift to ecommerce.

Store closings could accelerate to 70,000 to 90,000 if retail sales turn out to be weaker than expected, according to UBS.

The United States gained stores in 2021, adding a net total of about 11,000 new stores. Last year, the country returned to the previous pattern of shrinking store counts, with 1,500 store closing as of the third quarter of 2022, according to UBS.

The pace of store closings has already accelerated this year, UBS said, with small chains and mom-and-pop stores being most at risk in the current economy. As of 2020, more than half of retail stores were operated by companies with fewer than 20 employees, and 68% of stores were operated by chains with less than 500 employees

The store-closing forecast is based on the assumption by UBS analysts that ecommerce penetration will increase from 20% currently to 26% by 2027. UBS calculates that every 100 basis point increase in online percentage of sales triggers about 8,000 store closings.

Banks are showing they are less willing to make consumer installment loans, which will hurt consumers’ ability to spend. UBS also expects there to will less capital available to allow entrepreneurs to open new retail stores.

Higher costs, particularly labor costs, also will drive store closings, UBS said. “Notably, despite all the automation in retail over the past several years, employees per store has increased for several retail sub-sectors,” according to UBS.

Home improvements stores had an average of 21 employees per store in 2021, compared to 16 in 2012. Electronics, home furnishings, auto parts, grocery, and sporting goods stores also have reported increases in average numbers of employees per store.

The retail sectors expected to have the most store closings, according to UBS, are clothing and clothing accessories (approximately 14,000); consumer electronics (some 9,000 closings); and home furnishings (4,000 closings).

Smaller number of closings are forecast for the home improvement and general merchandise sectors, and the number of auto parts stores is expected remain steady.

In-store fulfillment of online grocery orders is expected to help keep physical grocery stores open.

Since 2018. clothing stores have had the most store closings (down 10,500), followed by consumer electronics stores (-3,000) and sporting goods (-1,300).

Over the next five years, shopping center growth is expected to be limited, and thus will not contribute to store growth.

While the number of shopping centers continued to grow modestly in 2022, UBS believes the number of U.S. shopping centers, and the amount of shopping center square footage, have peaked, meaning mall-based stores face the greatest risk of closings.

The shift in malls toward more food and non-retail tenants will also contribute to store closings, UBS said.

“Even for malls that remain open, we believe there will be a shift away from retail to non-retail establishments, leading to retail closures,” the report said.","['Joan Verdon', 'Amy Danise', 'Senior Contributor']",2023-04-12 00:00:00
https://www.msn.com/en-us/money/topstocks/ge-s-stock-gains-after-ubs-boosts-price-target-by-15/ar-AA19PxSo,GE’s stock gains after UBS boosts price target by 15%,"THE RATINGS GAME

Shares of General Electric Co. gained ground Thursday after bullish UBS analyst Chris Snyder raised his price target by 15%, saying the aviation, power and renewable-energy company is a defensive play in the face of a worrisome economic outlook.

Synder said while the market’s valuation of GE’s stock may be “pushing near the upper limit,” his chief concern is geopolitical, not macroeconomic.

“[GE’s] exposure is defensive and well positioned for the macro at hand with each business line seeing low-risk [positive] rate of change, into both 2023 [and] 2024,” Snyder wrote in a note to clients.

He reiterated the buy rating he’s had on GE’s stock for at least three years while lifting his price target to $109 from $95. The stock hasn’t closed at or above $109 since January 2018.

The stock rose 0.2% to close at $94.30, with Snyder’s new price target implying further 15.6% upside. It has slipped 2.7% since closing at a five-year high of $96.92 on April 3.

Synder said his new price target includes a $94-per-share valuation for GE’s aviation business and a $16-per-share valuation for GE Vernova, which includes the company’s power and renewable-energy businesses.

GE Vernova is expected to separate from GE in early 2024, which would leave GE operating as GE Aerospace. GE HealthCare Technologies Inc. separated from GE in January 2023.

GE is scheduled to report first-quarter results on April 25 before the opening bell. Since the end of January, after the separation of GE HealthCare, the average analyst estimate compiled by FactSet for earnings per share has increased to 14 cents from 13 cents, while the FactSet revenue consensus has slipped to $13.25 billion from $13.35 billion.

Of the 21 analysts surveyed by FactSet who cover GE, 14 are bullish and seven are neutral, and the average stock-price target is $101.17. Snyder’s new price target makes him the fourth most bullish on the stock.

GE shares have run up 17.2% since the end of January, while the S&P 500 has advanced 1.7%.",[],
https://www.cnbc.com/2023/04/10/ubs-says-gains-will-be-limited-for-this-banking-stock-after-recent-crisis.html,"UBS downgrades this regional bank, says 'structural uncertainties' will pressure the stock","UBS thinks the recent banking crisis has left U.S. Bancorp with limited upside. The firm in a note Monday downgraded U.S. Bancorp to neutral from buy. It also lowered its price target on the name to $39 per share from $57. That represents 9% upside from the stock's last closing price of $35.75 per share. UBS noted that ""structural uncertainties"" remain for the company which are more of a headwind as opposed to the macro issues stemming from the regional banking crisis. USB RF YTD mountain UBS downgraded U.S. Bankcorp on Monday, citing ""structural uncertainties"" afflicting the company after a broader banking liquidity crisis last month. ""We entered 2023 naming USB as one of our Top Picks. But that was in the 'before times.' (Before the liquidity crisis.) While strategically sound, USB's acquisition of UB (closed in December 2022) puts it in a precarious position in the 'after times,''' UBS analyst Erika Najarian wrote on Monday. Shares of U.S. Bancorp have pulled back 18% year to date, stemming largely from a broader liquidity crisis spurred by the collapses of Silicon Valley Bank and Signature Bank last month . Meanwhile, UBS upgraded peer bank Regions Financial to a buy rating, and highlighted the company's balance sheet management which will help it ""weather the current interest rate storm better than peers."" — CNBC's Michael Bloom contributed to this report.",['Brian Evans'],2023-04-10 00:00:00
