Link,Title,Body,Author,Published
https://www.bloomberg.com/news/articles/2023-04-11/credit-suisse-deal-to-turn-ubs-into-wealth-management-powerhouse-jpmorgan-says,"Credit Suisse Takeover Will Turn UBS Into Wealth Management ‘Powerhouse,’ JPMorgan Says","Idea Generation: Paul Rodriguez Jr.

On this week’s episode of Idea Generation, Paul Rodriguez Jr. describes his early days as a young skateboarder in California, how he became the face of Nike Skate and eventually launched his own brand, Primitive Skateboarding. Along the way, he’s tried his hand at investing, including helping build and sell a craft beer-company.","['Steven Arons', 'Follow The Authors']",2023-04-11 00:00:00
https://www.msn.com/en-us/money/other/swiss-parliament-s-lower-house-debates-ubs-deal-after-upper-house-nod-1/ar-AA19JtwH,MSN,,[],
https://www.reuters.com/world/india/ubs-considers-retaining-credit-suisses-india-unit-bloomberg-news-2023-04-12/,UBS considers retaining Credit Suisse's India unit - Bloomberg News,"













April 12 (Reuters) - UBS Group AG (UBSG.S) is considering retaining Credit Suisse Group AG's (CSGN.S) private banking unit in India after the emergency rescue of its smaller rival last month, Bloomberg News reported on Wednesday citing people familiar with the matter.

Reporting by Kanjyik Ghosh in Bengaluru; Editing by Jacqueline Wong











Our Standards: The Thomson Reuters Trust Principles.",[],2023-04-12 00:00:00
https://www.bloomberg.com/news/articles/2023-04-12/ubs-weighs-retaining-credit-suisse-unit-serving-india-s-rich,UBS Weighs Retaining Credit Suisse Unit Serving India’s Rich,"Idea Generation: Paul Rodriguez Jr.

On this week’s episode of Idea Generation, Paul Rodriguez Jr. describes his early days as a young skateboarder in California, how he became the face of Nike Skate and eventually launched his own brand, Primitive Skateboarding. Along the way, he’s tried his hand at investing, including helping build and sell a craft beer-company.","['Preeti Singh', 'Saikat Das', 'Chanyaporn Chanjaroen', 'Preeti Singh Saikat Das Chanyaporn Chanjaroen', 'Follow The Authors']",2023-04-12 00:00:00
https://www.msn.com/en-us/money/other/brace-for-stock-market-volatility-to-persist-this-year-as-investors-get-bombarded-with-economic-data-ubs-says/ar-AA19L2bC,MSN,,[],
https://finance.yahoo.com/news/ubs-mulls-keeping-credit-suisse-154135669.html,UBS Mulls Keeping Credit Suisse Private Wealth Unit Targeting India's Wealthy Diaspora,"UBS Group AG (NYSE: UBS) is reportedly looking to retain Credit Suisse Group AG's (NYSE: CS) private banking unit in India, making way for a potential return to the market.

In recent weeks, Iqbal Khan, global head of wealth management at UBS, met with counterparts at Credit Suisse, including the lender's local wealth head Puneet Matta in Singapore, Bloomberg reported citing people familiar with the matter.

Also Read: Credit Suisse Rescue Package Retrospectively Rejected By Lower House Of Swiss Parliament — But There's A Catch.

The move would give the Swiss lender a stronger foothold among the growing ranks of Indian billionaires while underscoring a return for Khan, who steered the private wealth business during his time at Credit Suisse before joining UBS in 2019.

Credit Suisse has around 40 wealth management employees in India and around 7,000 people. According to the bank's website, India is the second-largest footprint for Credit Suisse outside of Switzerland.

The considerations aren't final, the people said. UBS and Credit Suisse declined to comment on the report to Bloomberg.

By 2014, UBS had opted to exit India's private-wealth market.

In recent months, UBS has already hired several Credit Suisse private bankers in Singapore to target India's wealthy client portfolio, including Gautam Anand, a managing director.

The $3.2 billion central-bank-brokered deal will shut off most of Credit Suisse's investment banking.

UBS Group also announced elimination of about 20 to 30% of jobs worldwide amid the takeover.

Price Action: UBS shares are down 1.42% at $21.20 on the last check Wednesday.

Don't miss real-time alerts on your stocks - join Benzinga Pro for free! Try the tool that will help you invest smarter, faster, and better.

This article UBS Mulls Keeping Credit Suisse Private Wealth Unit Targeting India's Wealthy Diaspora originally appeared on Benzinga.com

.

© 2023 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",['Vandana Singh'],
https://seekingalpha.com/news/3956034-credit-suisse-ubs-deal-voted-down-by-swiss-parliaments-lower-house,"Credit Suisse, UBS deal voted down by Swiss parliament's lower house (NYSE:CS)","Switzerland's lower chamber of parliament delivered a largely symbolic rebuke to the government's executive branch for engineering UBS's (NYSE:UBS) acquisition of troubled rival Credit Suisse (NYSE:CS).

The National Council voted 102 to 71 to reject government guarantees authorized last month of CHF 100B (~$110B) to keep Credit Suisse (CS) from failing and CH 9B to help UBS (UBS) absorb losses it may incur as a result of the takeover, the Associated Press reported Wednesday.

The vote was mostly symbolic as a parliamentary commission had already approved the rescue plan, which mostly involved guarantees through the Swiss central bank, not parliament,

In addition, the upper house of the Swiss parliament had voted earlier to accept the transaction that was announced on March 19 by Switzerland's seven-member executive branch — known as the Federal Council land headed by the Swiss president — along with the Swiss National Bank and Finma, the Swiss financial markets regulator.

Debate on Wednesday was expected to focus on working out the differences between the two chambers, the AP said.

Dear readers: We recognize that politics often intersects with the financial news of the day, so we invite you to click here to join the separate political discussion.

More on the Banking Crisis and Credit Suisse:","['Liz Kiesche', 'Sa News Editor']",2023-04-12 12:21:27-04:00
https://www.barrons.com/articles/alibaba-jd-baidu-chinese-stocks-23a08c41,Good News for Alibaba and Other Chinese Stocks. UBS Sees 3 Reasons to Be Bullish.,"Alibaba spurred a rally across Chinese tech last month when it announced plans to split itself up and unlock value for shareholders. And there are more reasons to be bullish on stocks from the world’s second-largest economy, according to analysts at UBS.

Despite growing tensions between China and the U.S.—whether that be over chips and other strategic technology, or Chinese military pressures on Taiwan—U.S.-listed companies may be worth a look.",['Jack Denton'],
https://money.yahoo.com/50-000-stores-could-close-193032161.html,"50,000 Stores Could Close in the Next 5 Years, UBS Says","Store closures are expected to pick up again in 2023 and could total more than 50,000 in the next five years.

That’s according to a recent report from UBS, which found that store closures in 2023 are already up significantly compared to the prior year. In the last few months, various retailers have announced plans to consolidate their store bases and close stores. Foot Locker last month announced a decision to close more than 400 stores locations through 2026 focus on higher-performing doors. Walmart also recently announced a plan to close seven underperforming stores, including its last two pickup and delivery concept locations.

More from Footwear News

By the end of 2027, UBS estimates that about 50,000 stores will close across the current U.S. store count of about 940,000 stores, meaning there would be less than 5 percent fewer stores by the end of 2027.

Retailers have announced about 2,600 store closures and 5,100 store openings for the year, according to Coresight Research cited in BDO’s bi-annual bankruptcy report. Store openings this year have been mainly led by dollar store and discount chains, which have benefitted from cost-cutting consumers.

As for the reasons for the predicted closures, UBS outlined a few key factors. For starters, the cost to run a store is going up, especially as wages increase and rents stay high. At the same time, a general slowdown in consumer spending, less available credit and e-commerce growth are also to blame.

UBS predicts e-commerce penetration to grow from its current 20 percent to 26 percent by 2027, with 25 percent of online sales being fulfilled from stores. This model also assumes that retail sales grow 4 percent annually.

Story continues

The National Retail Federation forecast that retail sales will grow between 4 percent and 6 percent in 2023, with sales reaching between $5.13 trillion and $5.23 trillion this year. While NRF has said a recession is unlikely in 2023, a recession could result in even more store closures, UBS said.

The stores at risk of closures are those of smaller chains, department stores and specialty retailers with mainly discretionary items.

“In our view, these smaller chains and mom and pops are most at risk of closures given these firms typically have less access to capital needed to invest in developing a robust omnichannel offering,” UBS analysts wrote in the report.

Meanwhile, off-price retailers and dollar stores are set to continue to grow their presence as they resonate with cost-conscious consumers.

Like store closures, retail bankruptcies are set to come back into play in a big way in 2023 after a relatively slow year in 2022. Between the start of 2023 through the end of February, six major retailers filed for bankruptcy, according to BDO’s bi-annual bankruptcy report. That’s more than the total number of retail bankruptcies in 2022.

In some cases, these bankruptcies could correlate with store closures for chains as well.

Best of Footwear News

Sign up for FN's Newsletter. For the latest news, follow us on Facebook, Twitter, and Instagram.

Click here to read the full article.",['Shoshy Ciment'],
https://www.msn.com/en-us/money/markets/“a-dramatic-tragedy”-swiss-parliament-split-on-ubs-takeover-of-credit-suisse/ar-AA19IXNg,MSN,,[],
https://www.bizjournals.com/washington/news/2023/04/12/ubs-skanska-dc-office.html,,,[],2023-04-12 00:00:00
https://www.bloomberg.com/news/articles/2023-04-13/ubs-hires-strategy-consultants-oliver-wyman-to-help-with-credit-suisse-deal,UBS Hires Strategy Consultants Oliver Wyman to Help With Credit Suisse Integration,"Idea Generation: Paul Rodriguez Jr.

On this week’s episode of Idea Generation, Paul Rodriguez Jr. describes his early days as a young skateboarder in California, how he became the face of Nike Skate and eventually launched his own brand, Primitive Skateboarding. Along the way, he’s tried his hand at investing, including helping build and sell a craft beer-company.","['Steven Arons', 'Follow The Authors']",2023-04-13 00:00:00
https://www.msn.com/en-us/money/companies/ubs-taps-jpmorgan-to-explore-possible-ipo-of-credit-suisse-s-domestic-business-report/ar-AA19Og4j,MSN,,[],
https://markets.businessinsider.com/news/stocks/ubs-sticks-to-their-buy-rating-for-beach-energy-limited-beptf-1032231453,UBS Sticks to Their Buy Rating for Beach Energy Limited (BEPTF),"UBS analyst Tom Allen maintained a Buy rating on Beach Energy Limited (BEPTF – Research Report) today and set a price target of A$1.75. The company’s shares closed last Thursday at $0.99.

Allen covers the Utilities sector, focusing on stocks such as Beach Energy Limited, Santos Limited, and AGL Energy Limited. According to TipRanks, Allen has an average return of 8.7% and a 54.35% success rate on recommended stocks.

Beach Energy Limited has an analyst consensus of Moderate Buy, with a price target consensus of $1.29, a 30.30% upside from current levels. In a report released today, Bell Potter also maintained a Buy rating on the stock with a A$2.18 price target.

See the top stocks recommended by analysts >>

Based on Beach Energy Limited’s latest earnings release for the quarter ending June 30, the company reported a quarterly net profit of $0. In comparison, last year the company had a net profit of $0

TipRanks has tracked 36,000 company insiders and found that a few of them are better than others when it comes to timing their transactions. See which 3 stocks are most likely to make moves following their insider activities.

Beach Energy Ltd. engages in the exploration, development and production of oil and gas. It operates through following business segments: Cooper Basin, Other Australia, and International. The Cooper Basin segment represents oil and gas sales from Australian production. The Other Australia segment includes the Group’s interest in all on-shore and off-shore production and exploration tenements within Australia. The International segment consists of the Group’s interests in all areas outside Australia. The company was founded by Reg Sprigg in 1961 and is headquartered in Glenside, Australia.

Read More on BEPTF:",[],
https://www.cnbc.com/2023/04/10/sell-mining-stocks-and-load-up-on-energy-ones-with-these-8-names-ubs.html,Sell these mining stocks and load up on 8 energy ones instead: UBS,"Sell mining shares and invest in energy stocks instead — that's the message from the Swiss investment bank UBS. On the one hand, the bank believes that ""unsynchronized"" global growth and recessionary concerns in the U.S. make it difficult for mining companies to perform well. On the other hand, UBS expects energy stocks to continue delivering bumper cash flow this year, according to UBS. ""Both sectors tend to benefit from rising global growth, but we don't expect that. That is why we think this is an appealing relative opportunity,"" UBS strategists led by Gerry Fowler wrote in a note to clients on April 3. ""Energy free cashflow is very high and we think sustainable. Mining free cashflow is set to deteriorate significantly, in our view."" The performance of both sectors has been weak so far this year, with the Stoxx Europe Basic Resources index down by 6.7% and the Stoxx Europe Energy index up by just 1.8%. However, UBS thinks investors have an opportunity to target the relative value between those two sectors as their paths diverge during this period of global growth. The following table shows eight buy-rated energy stocks with double-digit price targets. The table below shows six sell-rated mining stocks with significant downside to their price targets. UBS analysts have forecast that free cash flow from the mining sector will decline as bulk commodity prices retrace from their highs. Copper prices are still hovering around their highs for this decade at about $4 a pound. If commodity prices move lower toward their forecasts, UBS estimates that free cash flow from the sector will fall to little more than 5%. On the flip side, UBS said it believes that even if Brent crude oil trades at $85 per barrel in 2024, current market levels would still provide a free cash flow yield of around 15% for energy stocks. That's likely to happen for two reasons. First, valuations on energy companies are currently priced at a discount rate compared with pre-Covid levels, according to UBS, making them cheaper than before. Second, the bank's analysts said the U.S. economy is predicted not to grow significantly, causing demand to exceed supply again within the coming months and leading to potentially sharp falls in commodity prices.",['Ganesh Rao'],2023-04-10 00:00:00
https://www.msn.com/en-us/money/markets/swiss-finance-minister-sees-no-stumbling-blocks-to-ubs-takeover-of-credit-suisse/ar-AA19CBDz,MSN,,[],
https://www.msn.com/en-us/money/markets/the-buckle-started-at-neutral-as-ubs-sees-macro-headwinds-balancing-sales-growth/ar-AA19GwnX,MSN,,[],
https://markets.businessinsider.com/news/stocks/corporate-travel-management-limited-ctmlf-gets-a-buy-from-ubs-1032231452,Corporate Travel Management Limited (CTMLF) Gets a Buy from UBS,"UBS analyst Tim Plumbe maintained a Buy rating on Corporate Travel Management Limited (CTMLF – Research Report) today and set a price target of A$25.95. The company’s shares closed last Monday at $11.37.

Plumbe covers the Services sector, focusing on stocks such as Corporate Travel Management Limited, Flight Centre Travel Group Limited, and Collins Foods Limited. According to TipRanks, Plumbe has an average return of 3.2% and a 44.74% success rate on recommended stocks.

Corporate Travel Management Limited has an analyst consensus of Moderate Buy, with a price target consensus of $13.54.

See Insiders’ Hot Stocks on TipRanks >>

CTMLF market cap is currently $1.86B and has a P/E ratio of 96.37.

TipRanks has tracked 36,000 company insiders and found that a few of them are better than others when it comes to timing their transactions. See which 3 stocks are most likely to make moves following their insider activities.

Corporate Travel Management Ltd manages and purchases travel products and services for corporations. Other services include corporate event-based travel management and leisure travel services for corporate clients. Revenue is derived from the sale of travel services, which are typically commission- or fee-based. The company operates through four main geographic segments: Australia & New Zealand, North America, Asia, and Europe. The company generates the majority of its revenue in Australia and New Zealand.

Read More on CTMLF:",[],
https://www.insurancebusinessmag.com/us/news/breaking-news/ubs-chief-gets-reelected-as-swiss-re-chair-ahead-of-departure-from-reinsurer-442593.aspx,UBS CEO gets re-elected as Swiss Re chair ahead of departure from reinsurer,"Ermotti’s re-election was proposed prior to his appointment at UBS, which took effect on April 5. As for the exact date of his exit from Swiss Re, the reinsurer said this will be announced in due course.",['Terry Gangcuangco'],
https://www.investmentnews.com/credit-suisse-deal-will-make-ubs-a-wealth-management-powerhouse-jpmorgan-236257,Credit Suisse deal will make UBS a wealth management ‘powerhouse’: JPMorgan,"UBS Group’s $3.3 billion acquisition of rival Credit Suisse Group will transform it into a banking juggernaut at a bargain price, JPMorgan analysts said Tuesday.

The deal is set to turn UBS into a wealth management “powerhouse” with “one of the most attractive business models in global banking,” analysts led by Kian Abouhossein said in a research note. Meanwhile, the price paid is “attractive” for UBS even after factoring in potential losses on Credit Suisse assets, litigation costs and restructuring expenses, they said.

UBS bought Credit Suisse last month in a deal orchestrated by the Swiss government, following a collapse in confidence at the lender that threatened to trigger a broader financial crisis. UBS, already one of the world’s largest wealth managers, is now taking over a key rival for a fraction of the value of its assets and as much as 9 billion Swiss francs ($9.9 billion) in government loss guarantees.

UBS shares plunged after the deal announcement but they have since gained more than 10% as investors increasingly seem to see the terms as positive. By comparison, the Bloomberg Europe 500 Banks And Financial Services Index — a benchmark for the industry as a whole — has only increased by about 5% over the same period.

“The transaction has potential to be very attractive on an economic return-on-investment basis,” the analysts wrote. They forecast that the combined group could generate $7 billion in wealth management pretax profit by 2027.

However, the government-orchestrated rescue of Credit Suisse has met with some discontent among the Swiss population and politicians, with some lawmakers voicing their frustration over the government’s use of emergency measures at a parliamentary session on Tuesday.

Job cuts at Credit Suisse’s Swiss operations following the takeover could be delayed if they become “a political issue,” the JPMorgan analysts said in their note. Risks to the smooth execution of the deal could end up forcing UBS to sell or float the Credit Suisse’s domestic universal bank, which would fetch at least $10 billion in such a scenario.

That would “more than offset” the amount spent on the acquisition of the group by UBS, they wrote.

[More: UBS brings back Ermotti as CEO to lead Credit Suisse takeover, replace Hamers]",[],2023-04-11 17:45:14+00:00
