Search Engine,Link,Title,Source
Bing,https://www.businessinsider.com/investing-stocks-to-buy-earnings-market-outlook-prediction-credit-suisse-2023-4,"These 15 stocks will matter the most to corporate profits during a quarter where earnings will fall again, according to Credit Suisse",Business Insider
Bing,https://www.msn.com/en-us/money/savingandinvesting/credit-suisse-fund-outflows-widen-to-56-billion-following-ubs-tie-up/ar-AA19X5cQ,Credit Suisse fund outflows widen to $5.6 billion following UBS tie-up,MarketWatch on MSN
Bing,https://www.ft.com/content/cc2ff231-a8bf-4edf-aadf-93d9641c66cf,Investors rethink risk after Credit Suisse bonds wiped out,The Financial Times
Bing,https://www.wsj.com/livecoverage/stock-market-news-today-04-17-2023/card/credit-suisse-fallout-spreads-to-japanese-individual-investors-DhcHeLpxWIxtQlie1JPA,Credit Suisse Fallout Spreads to Japanese Individual Investors,Wall Street Journal
Bing,https://www.msn.com/en-us/money/companies/japanese-bank-s-clients-lost-over-700-million-in-credit-suisse-coco-bond-fiasco-report/ar-AA19Rogk,Japanese bank’s clients lost over $700 million in Credit Suisse CoCo bond fiasco: report,MarketWatch on MSN
Bing,https://www.ibtimes.co.uk/credit-suisse-class-action-could-force-banks-clean-their-act-says-finance-expert-1715144,"Credit Suisse class action could force banks to clean up their act, says finance expert",IBTimes UK
Bing,https://www.bloomberg.com/news/articles/2023-04-15/credit-suisse-downfall-offers-rallying-cry-for-left-and-right,Credit Suisse Downfall Offers Rallying Cry for Left and Right,Bloomberg L.P.
Bing,https://www.reuters.com/business/finance/emergency-credit-suisse-rescue-shakes-faith-switzerland-2023-04-14/,Analysis: Emergency Credit Suisse rescue shakes faith in Switzerland,Reuters
Bing,https://www.bloomberg.com/news/articles/2023-04-14/federal-reserve-backs-ubs-purchase-of-credit-suisse-us-units,Federal Reserve Backs UBS Purchase of Credit Suisse US Units,Bloomberg L.P.
Bing,https://money.usnews.com/investing/news/articles/2023-04-14/fed-approves-ubs-credit-suisse-deal-in-us,Federal Reserve Green Lights UBS-Credit Suisse Deal in US,U.S. News & World Report
Bing,https://finance.yahoo.com/news/mufg-clients-lost-700-million-090125498.html,MUFG Clients Lost $700 Million in Credit Suisse AT1 Wipeout,YAHOO!Finance
Bing,https://www.msn.com/en-us/money/markets/federal-reserve-approves-ubs-credit-suisse-deal-in-us/ar-AA19Sn0a,Federal Reserve approves UBS-Credit Suisse deal in US,Reuters on MSN
Bing,https://www.reuters.com/business/finance/credit-suisse-job-cuts-must-be-frozen-bankers-leader-says-2023-04-11/,"Credit Suisse job cuts must be frozen, bank employees leader says",Reuters
Bing,https://www.msn.com/en-us/money/markets/fed-approves-ubs-acquisition-of-credit-suisses-us-business/ar-AA19Sadf,Fed approves UBS' acquisition of Credit Suisse's U.S. business,Seeking Alpha on MSN
Bing,https://www.msn.com/en-gb/news/world/credit-suisse-rescue-receives-initial-snub-from-swiss-parliament/ar-AA19KhRZ,Credit Suisse rescue receives initial snub from Swiss parliament,Reuters on MSN
Bing,https://www.reuters.com/business/finance/credit-suisse-sec-letters-show-months-long-reporting-errors-debate-2023-04-11/,"Credit Suisse, SEC letters show months-long reporting errors debate",Reuters
Bing,https://abcnews.go.com/International/wireStory/credit-suisse-rescue-rebuked-half-swiss-parliament-98523835,Credit Suisse rescue rebuked by half of Swiss parliament,ABC
Bing,https://abcnews.go.com/International/wireStory/swiss-lawmakers-pick-apart-credit-suisse-woes-ahead-98493450,Swiss lawmakers pick apart Credit Suisse woes ahead of deal,ABC
Bing,https://www.bloomberg.com/news/articles/2023-04-13/blackrock-sells-asset-backed-bonds-from-credit-suisse-s-books,BlackRock Sells Asset-Backed Bonds From Credit Suisse’s Books,Bloomberg L.P.
Bing,https://www.msn.com/de-de/finanzen/top-stories/mufg-kunden-verloren-640-mio-franken-mit-credit-suisse-bonds/ar-AA19Ri3g,MUFG-Kunden verloren 640 Mio. Franken mit Credit-Suisse-Bonds,Bloomberg L.P. on MSN
Bing,https://www.ibtimes.co.uk/credit-suisse-class-action-could-force-banks-clean-their-act-says-finance-expert-1715144,"Credit Suisse class action could force banks to clean up their act, says finance expert",IBTimes UK
Bing,https://www.msn.com/en-us/money/economy/credit-suisse-rescue-gets-swiss-upper-house-approval-amid-heated-debate/ar-AA19JCbP,Credit Suisse rescue gets Swiss upper house approval amid heated debate,Reuters on MSN
Bing,https://www.msn.com/en-us/money/markets/swiss-parliament-s-upper-house-approves-credit-suisse-rescue-after-heated-debate/ar-AA19J8Xf,Swiss parliament's upper house approves Credit Suisse rescue after heated debate,Reuters on MSN
Bing,https://www.reuters.com/business/finance/blackrock-sells-asset-backed-bonds-credit-suisses-books-bloomberg-news-2023-04-13/,"BlackRock sells asset-backed bonds from Credit Suisse's books, Bloomberg reports",Reuters
Bing,https://www.msn.com/en-us/money/personalfinance/credit-suisse-pays-back-some-emergency-liquidity-central-bank-data-suggests/ar-AA19Ix1l,"Credit Suisse pays back some emergency liquidity, central bank data suggests",Reuters on MSN
Bing,https://www.msn.com/en-us/money/companies/credit-suisse-job-cuts-must-be-frozen-bankers-leader-says/ar-AA19HWCp,Credit Suisse job cuts must be frozen -bankers leader says,Reuters on MSN
Bing,https://www.msn.com/de-de/finanzen/top-stories/finma-erfuhr-erst-im-m%C3%A4rz-die-tragweite-der-sec-fragen-an-credit-suisse/ar-AA19NWSH,Finma erfuhr erst im März von Tragweite der SEC-Fragen an Credit Suisse,Bloomberg L.P. on MSN
Bing,https://www.msn.com/en-gb/news/other/swiss-parliament-seeks-elusive-compromise-over-credit-suisse-rescue/ar-AA19LNLP,Swiss parliament seeks elusive compromise over Credit Suisse rescue,Reuters on MSN
Bing,https://www.bloomberg.com/news/articles/2023-04-12/deutsche-bank-hires-credit-suisse-europe-m-a-head-mansfield,Deutsche Bank Hires Credit Suisse Europe M&A Head Mansfield,Bloomberg L.P.
Bing,https://money.usnews.com/investing/news/articles/2023-04-13/blackrock-sells-asset-backed-bonds-from-credit-suisses-books-bloomberg-news,BlackRock Sells Asset-Backed Bonds From Credit Suisse's Books Bloomberg News,U.S. News & World Report
Bing,https://www.msn.com/en-in/money/news/tcs-expects-more-biz-from-ubs-credit-suisse-merger/ar-AA19Wlny,TCS expects more biz from UBS-Credit Suisse merger,The Times of India on MSN
Bing,https://www.msn.com/en-in/money/topstories/us-federal-reserve-gives-nod-to-acquisition-of-us-subsidiaries-of-credit-suisse-by-ubs/ar-AA19SJVR,US Federal Reserve gives nod to acquisition of US subsidiaries of Credit Suisse by UBS,Business Today on MSN
Bing,https://www.msn.com/en-us/money/markets/fed-approves-ubss-acquisition-of-us-subsidiaries-of-credit-suisse/ar-AA19SgVf,Fed approves UBS’s acquisition of U.S. subsidiaries of Credit Suisse,MarketWatch on MSN
Bing,https://www.bloomberg.com/news/articles/2023-04-12/ubs-weighs-retaining-credit-suisse-unit-serving-india-s-rich,UBS Weighs Retaining Credit Suisse Unit Serving India’s Rich,Bloomberg L.P.
Bing,https://www.bloomberg.com/press-releases/2023-04-15/credit-suisse-deadline-alert-securities-litigation-partner-james-josh-wilson-encourages-investors-who-suffered-losses,CREDIT SUISSE DEADLINE ALERT: Securities Litigation Partner James (Josh) Wilson Encourages Investors Who Suffered Losses,Bloomberg L.P.
Bing,https://www.msn.com/es-es/dinero/noticias/clientes-de-mitsubishi-perdieron-us-700m-con-bonos-de-credit-suisse/ar-AA19S3oV,Clientes de Mitsubishi perdieron US$700M con bonos de Credit Suisse,Bloomberg L.P. on MSN
Bing,https://www.marketwatch.com/press-release/learn-to-evaluate-credit-suisse-group-cs-using-the-charts-2023-04-14,Learn to Evaluate Credit Suisse Group ($CS) using the Charts,MarketWatch
Bing,https://www.reuters.com/world/india/ubs-considers-retaining-credit-suisses-india-unit-bloomberg-news-2023-04-12/,UBS considers retaining Credit Suisse's India unit - Bloomberg News,Reuters
Bing,https://www.msn.com/en-au/money/other/credit-suisse-job-cuts-must-be-frozen-swiss-bank-employees-association-says/ar-AA19HSc9,"Credit Suisse job cuts must be frozen, Swiss Bank Employees' Association says",Reuters on MSN
Bing,https://www.msn.com/en-sg/money/companies/macquarie-group-hires-credit-suisse-s-top-australian-dealmaker-memo/ar-AA19KpA3,Macquarie Group hires Credit Suisse's top Australian dealmaker - memo,Reuters on MSN
Bing,https://www.msn.com/en-us/money/economy/rpt-analysis-emergency-credit-suisse-rescue-shakes-faith-in-switzerland/ar-AA19Tnkc,RPT-ANALYSIS-Emergency Credit Suisse rescue shakes faith in Switzerland,Reuters on MSN
Bing,https://www.marketwatch.com/press-release/cs-lawsuit-alert-levi-korsinsky-reminds-credit-suisse-group-ag-investors-of-a-class-action-lawsuit-and-upcoming-deadline-2023-04-14,CS LAWSUIT ALERT: Levi & Korsinsky Reminds Credit Suisse Group AG Investors of a Class Action Lawsuit and Upcoming Deadline,MarketWatch
Bing,https://www.americanbanker.com/news/fed-approves-ubs-acquisition-of-credit-suisses-u-s-subsidiary,Fed approves UBS acquisition of Credit Suisse's U.S. subsidiary,American Banker
Bing,https://www.msn.com/en-us/money/markets/fed-approves-ubs-credit-suisse-deal-in-us/ar-AA19STpg,Fed approves UBS-Credit Suisse deal in US,Reuters on MSN
Bing,https://www.msn.com/en-us/money/companies/corrected-update-2-federal-reserve-green-lights-ubs-credit-suisse-deal-in-us/ar-AA19SQT4,CORRECTED-UPDATE 2-Federal Reserve green lights UBS-Credit Suisse deal in US,Reuters on MSN
Bing,https://markets.businessinsider.com/news/stocks/credit-suisse-reaffirms-their-hold-rating-on-procter-gamble-pg-1032233819,Credit Suisse Reaffirms Their Hold Rating on Procter & Gamble (PG),Business Insider
Bing,https://www.msn.com/en-us/money/companies/credit-suisse-maintains-gxo-logistics-gxo-outperform-recommendation/ar-AA19SOjv,Credit Suisse Maintains GXO Logistics (GXO) Outperform Recommendation,Fintel on MSN
Bing,https://www.msn.com/en-us/money/companies/parliament-symbolically-rejects-credit-suisse-deal/ar-AA19Qneo,Parliament symbolically rejects Credit Suisse deal,China Daily on MSN
Bing,https://www.reuters.com/company/credit-suisse-group-ag/,Credit Suisse Group AG,Reuters
