Search Engine,Link,Title,Source
Yahoo,https://www.cbsnews.com/news/patagonia-ceo-conservationist-kris-tompkins-wild-life-documentary-film/,From Patagonia CEO to conservationist: Kris Tompkins' story comes to life in new film,CBS News
Yahoo,https://www.yahoo.com/entertainment/patagonia-founder-yvon-chouinard-wild-192530293.html?fr=sycsrp_catchall,Patagonia Founder Yvon Chouinard on ‘Wild Life’ and Donating His Company to Save the Earth: ‘It’s...,Variety via Yahoo News
Yahoo,https://www.aol.com/patagonia-hoka-north-face-massive-172500335.html,"Patagonia, Hoka, and the North Face Have Massive Outdoor Gear Sales",Men's Health via AOL
Yahoo,https://www.yahoo.com/lifestyle/patagonia-knocking-half-off-awesome-174200082.html?fr=sycsrp_catchall,Patagonia Is Knocking up to Half Off Some Awesome Spring Gear,Men's Health via Yahoo News
Yahoo,https://www.reuters.com/business/sustainable-business/ryan-gellert-patagonia-we-have-be-greener-than-green-make-profit-2023-04-11/,Ryan Gellert: ‘At Patagonia we have to be greener than green – and make a profit’,Reuters
Yahoo,https://www.cbsnews.com/news/author-david-grann-wager-book-castaways-60-minutes-2023-04-16/,Author David Grann takes harrowing journey to inhospitable island to tell story of shipwreck and...,CBS News
Yahoo,https://news.yahoo.com/former-patagonia-ceo-rose-marcario-032200180.html?fr=sycsrp_catchall,"Former Patagonia CEO Rose Marcario delivers CWA keynote on leadership, ethics","Daily Camera, Boulder, Colo. via Yahoo News"
Yahoo,https://www.yahoo.com/lifestyle/kristine-tompkins-helped-conserve-15-110035000.html?fr=sycsrp_catchall,How Kristine Tompkins Helped Conserve 15 Million Acres in Patagonia,Outside via Yahoo News
Yahoo,https://www.abcactionnews.com/these-companies-give-a-discount-when-you-recycle-old-clothes,These companies give a discount when you recycle old clothes,ABC Action News Tampa Bay
Yahoo,https://www.cbsnews.com/news/david-grann-author-wager-60-minutes-transcript-2023-04-16/,"Author David Grann tumbles back in time to tell true story of shipwreck and mutiny for ""The Wager""",CBS News
Yahoo,https://www.cbsnews.com/news/david-grann-author-wager-60-minutes-transcript-2023-04-16/,"Author David Grann tumbles back in time to tell true story of shipwreck and mutiny for ""The Wager""",CBS News
Yahoo,https://www.yahoo.com/entertainment/wild-life-review-jimmy-chin-190023573.html?fr=sycsrp_catchall,‘Wild Life’ Review: Jimmy Chin and Elizabeth Chai Vasarhelyi Helm an Uncharacteristically Thin Doc,Indiewire via Yahoo News
Yahoo,https://www.yahoo.com/lifestyle/tried-backpack-thats-hailed-perfect-110000123.html?fr=sycsrp_catchall,I Tried the Backpack That's Been Hailed As the 'Perfect Travel Bag' — and Now I Use It Instead of My...,Travel+Leisure via Yahoo News
Yahoo,https://www.yahoo.com/lifestyle/david-grann-next-big-adventure-120000800.html?fr=sycsrp_catchall,This Is David Grann’s Next Big Adventure Story,GQ via Yahoo News
Yahoo,https://www.rollingstone.com/culture/culture-features/shipwreck-mutiny-murder-david-grann-book-interview-1234713488/,Why a Harrowing 18th-Century Shipwreck Is a Parable for Our Times,Rolling Stone
Yahoo,https://www.mediapost.com/publications/article/384218/patagonia-founder-chouinard-is-this-years-lionhea.html,Patagonia Founder Chouinard Is This Year's Lionheart Award Winner.,MediaPost
Yahoo,https://www.yahoo.com/entertainment/why-harrowing-18th-century-shipwreck-150000985.html?fr=sycsrp_catchall,Why a Harrowing 18th-Century Shipwreck Is a Parable for Our Times,Rolling Stone via Yahoo News
Yahoo,https://finance.yahoo.com/news/13-fun-ways-save-money-035500617.html?fr=sycsrp_catchall,"13 Fun Ways to Save Money (Yes, We Said Fun) and Not Hate Your Life",FinanceBuzz via Yahoo Finance
Yahoo,https://time.com/collection/100-most-influential-people-2023/6269833/yvon-chouinard/,Yvon Chouinard: The 100 Most Influential People of 2023,Time Magazine
Yahoo,https://www.yahoo.com/lifestyle/five-fits-podcaster-menswear-whisperer-174400300.html?fr=sycsrp_catchall,Five Fits With: Podcaster and Menswear Whisperer Chris Black,Esquire via Yahoo News
Yahoo,https://finance.yahoo.com/news/behind-the-brand-pura-aventura-uk-pioneers-of-sustainable-travel-111450393.html?fr=sycsrp_catchall,"Behind the brand: Pura Aventura, UK pioneers of sustainable travel",Yahoo Finance UK
Yahoo,https://speedway.tucson.com/letters/?action=letter&uuid=f4ac79fa-a6ea-5ec1-8e81-828e8f392f33,Letter to the Editor,Arizona Daily Star
Yahoo,https://speedway.tucson.com/letters/?action=opinion&uuid=f4ac79fa-a6ea-5ec1-8e81-828e8f392f33,Guest Opinion,Arizona Daily Star
Yahoo,https://www.adweek.com/social-marketing/instagram-remains-priority-platform-marketing-trends-2023/,Why Instagram Is Still a Priority Platform for Marketers,AdWeek
Yahoo,https://www.gq.com/story/best-casual-pants?yptr=yahoo,The Best Casual Pants for Men Will Make You Want to Renounce Sweats Forever,GQ
Yahoo,https://www.businessoffashion.com/articles/sustainability/rothys-bottle-bill-new-york-recycling/,The New Politics of Marketing,The Business of Fashion
Yahoo,https://www.yahoo.com/lifestyle/15-best-joggers-women-wear-140000339.html?fr=sycsrp_catchall,The 15 Best Joggers for Women to Wear on the Road,Conde Nast Traveler via Yahoo News
Yahoo,https://www.yahoo.com/lifestyle/every-duffel-weekender-bag-weve-213622608.html?fr=sycsrp_catchall,Every Duffel and Weekender Bag We've Tested,Travel+Leisure via Yahoo News
Yahoo,https://news.yahoo.com/motivates-utahns-become-entrepreneurs-more-030000307.html?fr=sycsrp_catchall,What motivates Utahns to become entrepreneurs more than any other state?,Deseret News via Yahoo News
Yahoo,https://www.thecourierexpress.com/news/forwomen-group-hosting-international-speakers-at-dubois-country-club-april-20/article_432535c8-d95d-11ed-ae96-431bc0fd4e32.html,ForWomen group hosting international speakers at DuBois Country Club April 20,Jeffersonian Democrat
Yahoo,https://www.nytimes.com/2023/04/13/movies/wild-life-review.html,‘Wild Life’ Review: Their Land Is Our Land,New York Times
Yahoo,https://www.nationalgeographic.com/travel/article/chilean-circuit-hike-dientes-beagle-channel,This thrilling Chilean trek is the world’s southernmost hike,National Geographic
Yahoo,https://www.msn.com/en-us/travel/tripideas/are-these-the-last-truly-unspoiled-places-on-earth/ss-AA19yS2e,Are These The Last Truly Unspoiled Places On Earth?,MSN News
Yahoo,https://www.yahoo.com/lifestyle/every-checked-suitcase-weve-ever-151742136.html?fr=sycsrp_catchall,Every Checked Suitcase We've Ever Tested,Travel+Leisure via Yahoo News
Yahoo,https://www.nytimes.com/2023/04/14/books/review/the-wager-david-grann.html,"With His Tale of Shipwreck, David Grann Is Steady as He Goes",New York Times
Yahoo,https://www.yahoo.com/lifestyle/test-recommend-luggage-223950223.html?fr=sycsrp_catchall,How We Test and Recommend Luggage,Travel+Leisure via Yahoo News
Yahoo,https://news.yahoo.com/chose-2023-time100-121121147.html?fr=sycsrp_catchall,How We Chose the 2023 TIME100,Time via Yahoo News
Yahoo,https://www.yahoo.com/lifestyle/best-men-fashion-home-sales-213000383.html?fr=sycsrp_catchall,The Best Men’s Style and Home Sales of the Week,SPY via Yahoo News
Yahoo,https://speedway.tucson.com/letters/?action=opinion&uuid=0ae84ff3-e350-5ceb-98fe-9ea4813c9815,Guest Opinion,Arizona Daily Star
Yahoo,https://www.yahoo.com/lifestyle/sheri-tingey-embraces-her-second-110020259.html?fr=sycsrp_catchall,Sheri Tingey Embraces Her Second Chance,Outside via Yahoo News
Yahoo,https://www.slashfilm.com/1253856/star-wars-visions-season-2-inspiration-from-real-world-history-colonialism/,How Star Wars: Visions Season 2 Drew Inspiration From Real-World History Of Colonialism - /Film,/Film
Yahoo,https://www.bostonglobe.com/2023/04/14/opinion/medical-staff-have-heard-this-anti-union-rhetoric-before/,Medical staff have heard this anti-union rhetoric before - The Boston Globe,The Boston Globe
