Search Engine,Link,Title,Source
Yahoo,https://finance.yahoo.com/news/accelerating-web3-adoption-roland-berger-151738927.html?fr=sycsrp_catchall,Accelerating Web3 Adoption: Roland Berger and the Inacta Group Cooperate on Digital Assets and Web3...,NewMediaWire via Yahoo Finance
Yahoo,https://news.yahoo.com/nuclear-power-possibility-montana-northwestern-102802461.html?fr=sycsrp_catchall,"Nuclear power a possibility for Montana, NorthWestern tells SD regulators",Argus Leader via Yahoo News
Yahoo,https://news.yahoo.com/japans-crackdown-truck-driver-overtime-230135131.html?fr=sycsrp_catchall,Japan's crackdown on truck driver overtime raises fears of economic breakdown,Reuters via Yahoo News
Yahoo,https://finance.yahoo.com/news/crypto-oasis-identifies-1-650-224406403.html?fr=sycsrp_catchall,"Crypto Oasis Identifies 1,650+ Blockchain Organizations in the UAE region during Q4 2022",NewMediaWire via Yahoo Finance
Yahoo,https://finance.yahoo.com/news/travel-resumes-chinas-luxury-shoppers-070100609.html?fr=sycsrp_catchall,"As travel resumes, China's luxury shoppers ask: Paris or Hainan?",Reuters via Yahoo Finance
Yahoo,https://www.yahoo.com/lifestyle/rolls-royce-hyundai-teaming-build-140000789.html?fr=sycsrp_catchall,Rolls-Royce and Hyundai Are Teaming Up to Build Electric Engines for Airplanes and VTOLs,Robb Report via Yahoo News
Yahoo,https://www.yahoo.com/lifestyle/pfas-drinking-water-proposal-resale-203522665.html?fr=sycsrp_catchall,"From PFAS Drinking Water Proposal, Resale News to BFC’s Returns Report: Short Takes",WWD via Yahoo News
Yahoo,https://www.yahoo.com/lifestyle/chinese-shoppers-haven-t-returned-003000423.html?fr=sycsrp_catchall,"Chinese Shoppers Haven’t Returned to Europe for Luxury Goods, Even as Covid Restrictions Relax",Robb Report via Yahoo News
Yahoo,https://techcrunch.com/2022/01/19/insurtech-startup-luko-acquires-coya-and-gains-insurance-license/,Insurtech startup Luko acquires Coya and gains insurance license,TechCrunch
Yahoo,https://finance.yahoo.com/news/swedens-filippa-k-enters-china-140500792.html?fr=sycsrp_catchall,Sweden's Filippa K Enters China With Launch on Alibaba's Tmall,ACCESSWIRE via Yahoo Finance
Google,https://www.kansascity.com/press-releases/article274231250.html,"New Report by the Manufacturers Alliance Foundation and Roland Berger 
Identifies How Manufacturers Increase ...",The Kansas City Star
Google,https://www.consultancy.uk/news/33996/digital-tools-and-return-charges-key-to-cut-uk-fashions-carbon-emissions,Digital tools and return charges key to cut UK fashion's carbon emissions,Consultancy.uk
Google,https://finance.yahoo.com/news/accelerating-web3-adoption-roland-berger-151738927.html,"Accelerating Web3 Adoption: Roland Berger and the Inacta Group Cooperate on 
Digital Assets and Web3 Venture Building for Their Clients",Yahoo Finance
Google,https://www.consultancy.eu/news/8491/roland-berger-appoints-six-senior-partners-across-european-offices,Roland Berger appoints six (senior) partners across European offices,Consultancy.eu
Google,https://www.consultancy-me.com/news/5913/inacta-partners-with-roland-berger-for-web3-and-blockchain-projects,Inacta partners with Roland Berger for web3 and blockchain projects,Consultancy-me.com
Google,https://news.cgtn.com/news/2023-03-26/Roland-Berger-Gov-ts-key-in-rebuilding-faith-in-banking-system-1iunkLoiMMg/index.html,"Roland Berger: Gov'ts, regulators play key role in rebuilding faith in 
banking system",CGTN
