Search Engine,Link,Title,Source
Bing,https://www.msn.com/en-us/money/savingandinvesting/credit-suisse-fund-outflows-widen-to-56-billion-following-ubs-tie-up/ar-AA19X5cQ,Credit Suisse fund outflows widen to $5.6 billion following UBS tie-up,MarketWatch on MSN
Bing,https://www.bloomberg.com/news/articles/2023-04-14/ubs-has-held-talks-with-former-cfo-naratil-about-possible-return,UBS Has Held Talks With Former CFO Naratil About Possible Return,Bloomberg L.P.
Bing,https://finance.yahoo.com/video/ubs-boj-track-policy-normalization-044707002.html,UBS: BOJ On Track For Policy Normalization,YAHOO!Finance
Bing,https://money.usnews.com/investing/news/articles/2023-04-14/fed-approves-ubs-credit-suisse-deal-in-us,Federal Reserve Green Lights UBS-Credit Suisse Deal in US,U.S. News & World Report
Bing,https://news.yahoo.com/swiss-vote-against-ubs-deal-131801231.html,"Swiss Vote Against UBS Deal Could Be Binding, Legal Experts Say",YAHOO!News
Bing,https://www.straitstimes.com/business/swiss-vote-against-state-guarantees-for-ubs-takeover-of-credit-suisse-could-be-binding-legal-experts-say,"Swiss vote against state guarantees for UBS takeover of Credit Suisse could be binding, legal experts say",The Straits Times
Bing,https://www.msn.com/de-de/finanzen/top-stories/ubs-hat-mit-ex-cfo-naratil-%C3%BCber-m%C3%B6gliche-r%C3%BCckkehr-gesprochen/ar-AA19RLF8,UBS hat mit Ex-CFO Naratil über mögliche Rückkehr gesprochen,Bloomberg L.P. on MSN
Bing,https://www.msn.com/en-us/money/markets/fed-approves-ubs-acquisition-of-credit-suisses-us-business/ar-AA19Sadf,Fed approves UBS' acquisition of Credit Suisse's U.S. business,Seeking Alpha on MSN
Bing,https://www.barrons.com/articles/top-100-private-wealth-management-teams-ubs-5e448b0e,How This UBS Megateam Is Building Portfolios Now,Barron's
Bing,https://www.investmentnews.com/ubs-in-talks-with-former-executive-naratil-about-possible-return-236372,UBS in talks with former executive Naratil about possible return,InvestmentNews
Bing,https://www.barrons.com/articles/the-dollars-era-of-outperformance-is-ending-how-to-step-away-fffae76d,"4 Ways to Reduce Dollar Exposure, According to UBS",Barron's
Bing,https://www.msn.com/en-us/money/news/most-revenue-cuts-already-priced-in-to-bank-stocks-says-ubss-erika-najarian/vi-AA19Rxhi,"Most revenue cuts already priced in to bank stocks, says UBS's Erika Najarian",CNBC on MSN
Bing,https://www.cnbc.com/2023/04/12/ubs-says-its-time-to-buy-this-banking-giant-with-very-low-risk-ahead.html,UBS says it's time to buy this banking giant with very low risk ahead,CNBC
Bing,https://www.forbes.com/sites/joanverdon/2023/04/12/50000-stores-to-close-by-2027-due-to-spending-shifts-tight-credit/,"50,000 U.S. Stores Could Close By 2027 Because Of Spending Shifts And Tight Credit, UBS Forecasts",Forbes
Bing,https://www.cnbc.com/2023/04/10/ubs-says-gains-will-be-limited-for-this-banking-stock-after-recent-crisis.html,"UBS downgrades this regional bank, says 'structural uncertainties' will pressure the stock",CNBC
Bing,https://www.msn.com/en-us/money/topstocks/ge-s-stock-gains-after-ubs-boosts-price-target-by-15/ar-AA19PxSo,GE’s stock gains after UBS boosts price target by 15%,MarketWatch on MSN
Bing,https://www.msn.com/en-us/money/topstocks/ubs-upgrades-goldman-sachs-to-buy-from-hold-on-attractive-valuation-lower-risk-profile/ar-AA19Mgio,"UBS upgrades Goldman Sachs to buy from hold on attractive valuation, lower risk profile",MarketWatch on MSN
Bing,https://www.reuters.com/breakingviews/ubs-can-score-quick-win-with-swiss-sale-2023-04-12/,UBS can score a quick win with Swiss sale,Reuters
Bing,https://www.reuters.com/world/india/ubs-considers-retaining-credit-suisses-india-unit-bloomberg-news-2023-04-12/,UBS considers retaining Credit Suisse's India unit - Bloomberg News,Reuters
Bing,https://www.msn.com/en-au/money/companies/ubs-has-hired-jpmorgan-to-explore-c-suisse-domestic-spin-off-swiss-media/ar-AA19NRxn,UBS has hired JPMorgan to explore C.Suisse domestic spin-off -Swiss media,Reuters on MSN
Bing,https://www.bloomberg.com/news/articles/2023-04-11/credit-suisse-deal-to-turn-ubs-into-wealth-management-powerhouse-jpmorgan-says,"Credit Suisse Takeover Will Turn UBS Into Wealth Management ‘Powerhouse,’ JPMorgan Says",Bloomberg L.P.
Bing,https://www.msn.com/en-us/money/markets/ubs-said-to-weigh-retaining-credit-suisses-wealth-unit-in-india/ar-AA19LXc6,UBS said to weigh retaining Credit Suisse's wealth unit in India,Seeking Alpha on MSN
Bing,https://www.msn.com/en-us/money/markets/swiss-parliament-s-lower-house-debates-ubs-deal-after-upper-house-nod-1/ar-AA19JtwH,Swiss Parliament’s Lower House Debates UBS Deal After Upper House Nod (1),Bloomberg on MSN
Bing,https://www.barrons.com/articles/alibaba-jd-baidu-chinese-stocks-23a08c41,Good News for Alibaba and Other Chinese Stocks. UBS Sees 3 Reasons to Be Bullish.,Barron's
Bing,https://www.msn.com/en-us/money/other/brace-for-stock-market-volatility-to-persist-this-year-as-investors-get-bombarded-with-economic-data-ubs-says/ar-AA19L2bC,"Brace for stock-market volatility to persist this year as investors get bombarded with economic data, UBS says",Business Insider on MSN
Bing,https://www.bloomberg.com/news/articles/2023-04-12/ubs-weighs-retaining-credit-suisse-unit-serving-india-s-rich,UBS Weighs Retaining Credit Suisse Unit Serving India’s Rich,Bloomberg L.P.
Bing,https://www.yahoo.com/lifestyle/50-000-stores-could-close-193032161.html,"50,000 Stores Could Close in the Next 5 Years, UBS Says",Yahoo
Bing,https://seekingalpha.com/news/3956034-credit-suisse-ubs-deal-voted-down-by-swiss-parliaments-lower-house,"Credit Suisse, UBS deal voted down by Swiss parliament's lower house",Seeking Alpha
Bing,https://www.wsj.com/livecoverage/stock-market-news-today-04-11-2023/card/get-ready-for-more-retail-closures-ubs-e9CpBaroE7DHMkBbA83p?page=1,Get Ready for More Retail Closures: UBS,Wall Street Journal
Bing,https://news.yahoo.com/swiss-vote-against-ubs-deal-131801231.html,"Swiss Vote Against UBS Deal Could Be Binding, Legal Experts Say",YAHOO!News
Bing,https://www.straitstimes.com/business/swiss-vote-against-state-guarantees-for-ubs-takeover-of-credit-suisse-could-be-binding-legal-experts-say,"Swiss vote against state guarantees for UBS takeover of Credit Suisse could be binding, legal experts say",The Straits Times
Bing,https://www.investmentnews.com/ubs-in-talks-with-former-executive-naratil-about-possible-return-236372,UBS in talks with former executive Naratil about possible return,InvestmentNews
Bing,https://www.msn.com/en-us/money/markets/the-incremental-banking-news-of-last-month-helps-goldman-over-others-ubs-hawken/vi-AA19OXzi,The incremental banking news of last month helps Goldman over others: UBS' Hawken,CNBC on MSN
Bing,https://www.msn.com/en-in/money/topstories/us-federal-reserve-gives-nod-to-acquisition-of-us-subsidiaries-of-credit-suisse-by-ubs/ar-AA19SJVR,US Federal Reserve gives nod to acquisition of US subsidiaries of Credit Suisse by UBS,Business Today on MSN
Bing,https://markets.businessinsider.com/news/stocks/look-beyond-the-risks-and-buy-ubs-stock-1032233130,Don’t Overlook Undervalued Banking Giant UBS Stock,Business Insider
Bing,https://www.msn.com/en-in/money/news/tcs-expects-more-biz-from-ubs-credit-suisse-merger/ar-AA19Wlny,TCS expects more biz from UBS-Credit Suisse merger,The Times of India on MSN
Bing,https://www.msn.com/en-us/money/markets/the-buckle-started-at-neutral-as-ubs-sees-macro-headwinds-balancing-sales-growth/ar-AA19GwnX,The Buckle started at Neutral as UBS sees macro headwinds balancing sales growth,Seeking Alpha on MSN
Bing,https://www.bloomberg.com/news/articles/2023-04-12/swiss-lower-house-votes-for-2nd-time-against-ubs-cs-guarantees,Swiss Lower House Censures UBS Guarantees in Symbolic Vote,Bloomberg L.P.
Bing,https://markets.businessinsider.com/news/stocks/ubs-maintains-buy-rating-for-servicenow-here-s-what-you-need-to-know-1032233466,UBS Maintains Buy Rating for ServiceNow: Here's What You Need To Know,Business Insider
Bing,https://www.americanbanker.com/news/fed-approves-ubs-acquisition-of-credit-suisses-u-s-subsidiary,Fed approves UBS acquisition of Credit Suisse's U.S. subsidiary,American Banker
Bing,https://www.investmentweek.co.uk/news/4112198/federal-reserve-approves-ubs-takeover-credit-suisse-us,Federal Reserve approves UBS takeover of Credit Suisse US,Investment Week
Bing,https://www.bizjournals.com/washington/news/2023/04/12/ubs-skanska-dc-office.html,UBS to relocate D.C. offices to Skanska's newest trophy property,The Business Journals
Bing,https://www.msn.com/en-us/money/companies/corrected-update-2-federal-reserve-green-lights-ubs-credit-suisse-deal-in-us/ar-AA19SQT4,CORRECTED-UPDATE 2-Federal Reserve green lights UBS-Credit Suisse deal in US,Reuters on MSN
Bing,https://www.msn.com/en-us/money/markets/fed-approves-ubs-credit-suisse-deal-in-us/ar-AA19STpg,Fed approves UBS-Credit Suisse deal in US,Reuters on MSN
Bing,https://www.cnbc.com/2023/04/10/sell-mining-stocks-and-load-up-on-energy-ones-with-these-8-names-ubs.html,Sell these mining stocks and load up on 8 energy ones instead: UBS,CNBC
Bing,https://www.msn.com/en-us/money/markets/ubs-upgrades-ingredion-ingr/ar-AA19RjxQ,UBS Upgrades Ingredion (INGR),Fintel on MSN
Bing,https://www.msn.com/en-us/money/companies/ubs-taps-jpmorgan-to-explore-possible-ipo-of-credit-suisse-s-domestic-business-report/ar-AA19Og4j,UBS taps JPMorgan to explore possible IPO of Credit Suisse’s domestic business: report,MarketWatch on MSN
Bing,https://www.msn.com/en-us/money/companies/ubs-maintains-servicenow-now-buy-recommendation/ar-AA19SB7Y,UBS Maintains ServiceNow (NOW) Buy Recommendation,Fintel on MSN
Bing,https://www.msn.com/en-us/money/markets/fed-approves-ubs-s-acquisition-of-u-s-subsidiaries-of-credit-suisse/ar-AA19SgVf,Fed approves UBS’s acquisition of U.S. subsidiaries of Credit Suisse,MarketWatch on MSN
Bing,https://www.msn.com/en-us/money/markets/swiss-finance-minister-sees-no-stumbling-blocks-to-ubs-takeover-of-credit-suisse/ar-AA19CBDz,Swiss finance minister sees no 'stumbling blocks' to UBS takeover of Credit Suisse,Reuters on MSN
Bing,https://www.bloomberg.com/news/articles/2023-04-13/ubs-hires-strategy-consultants-oliver-wyman-to-help-with-credit-suisse-deal,UBS Hires Strategy Consultants Oliver Wyman to Help With Credit Suisse Integration,Bloomberg L.P.
Bing,https://www.sportsbusinessdaily.com/Daily/Issues/2023/04/10/Facilities/ubs-arena-islanders-naming-rights-mercedes-f1-team-sponsorship.aspx,"UBS says Isles deal ‘has delivered,’ F1 ‘important’ for brand",Sports Business Journal
Bing,https://www.msn.com/en-us/money/markets/ubs-mulls-keeping-credit-suisse-private-wealth-unit-targeting-india-s-wealthy-diaspora/ar-AA19LZSx,UBS Mulls Keeping Credit Suisse Private Wealth Unit Targeting India's Wealthy Diaspora,Benzinga on MSN
Bing,https://www.msn.com/en-us/money/companies/ubs-upgrades-montauk-renewables-mntk/ar-AA19R0VA,UBS Upgrades Montauk Renewables (MNTK),Fintel on MSN
Bing,https://www.msn.com/en-us/money/savingandinvesting/ubs-upgrades-evercore-partners-evr/ar-AA19Mx8X,UBS Upgrades Evercore Partners (EVR),Fintel on MSN
Bing,https://www.msn.com/en-us/money/companies/mcdonalds-same-store-growth-will-accelerate-past-internal-estimates-ubs-geiger/vi-AA19GzTG,McDonald's same-store growth will accelerate past internal estimates: UBS' Geiger,CNBC on MSN
Bing,https://markets.businessinsider.com/news/stocks/ubs-sticks-to-their-buy-rating-for-beach-energy-limited-beptf-1032231453,UBS Sticks to Their Buy Rating for Beach Energy Limited (BEPTF),Business Insider
Bing,https://www.msn.com/de-de/finanzen/top-stories/ubs-holt-oliver-wyman-als-hilfe-bei-credit-suisse-integration/ar-AA19OjKD,UBS holt Oliver Wyman als Hilfe bei Credit-Suisse-Integration,Bloomberg L.P. on MSN
Bing,https://markets.businessinsider.com/news/stocks/hermes-international-hesaf-receives-a-buy-from-ubs-1032232475,Hermes International (HESAF) Receives a Buy from UBS,Business Insider
Bing,https://www.investmentnews.com/credit-suisse-deal-will-make-ubs-a-wealth-management-powerhouse-jpmorgan-236257,Credit Suisse deal will make UBS a wealth management ‘powerhouse’: JPMorgan,InvestmentNews
Bing,https://www.msn.com/en-us/money/topstocks/ubs-downgrades-huntington-bancshares-hban/ar-AA19GZGy,UBS Downgrades Huntington Bancshares (HBAN),Fintel on MSN
Bing,https://www.bloomberg.com/graphics/2023-layoff-tracker-credit-suisse-ubs-job-cuts/,UBS Joins a Rising Tide of Global Layoffs Beyond Big Tech,Bloomberg L.P.
Bing,https://www.reuters.com/business/finance/ubs-chairman-addresses-shareholders-milestone-credit-suisse-takeover-2023-04-05/,UBS Chairman addresses shareholders on milestone Credit Suisse takeover,Reuters
Bing,https://www.msn.com/en-us/money/markets/ubs-gr-unusual-options-activity/ar-AA19MTqC,UBS Gr Unusual Options Activity,Benzinga on MSN
Bing,https://markets.businessinsider.com/news/stocks/ubs-remains-a-buy-on-nufarm-limited-nufmf-1032231447,UBS Remains a Buy on Nufarm Limited (NUFMF),Business Insider
Bing,https://www.ifre.com/story/3851370/ubs-lines-up-advisers-cgz0pgqs9p,UBS lines up advisers,International Financing Review
Bing,https://www.msn.com/en-us/money/savingandinvesting/ubs-upgrades-goldman-sachs-group-gs/ar-AA19N8zg,UBS Upgrades Goldman Sachs Group (GS),Fintel on MSN
Bing,https://www.bloomberg.com/news/articles/2023-04-11/swiss-government-set-for-grilling-over-ubs-credit-suisse-deal,Swiss Government Set for Grilling Over UBS-Credit Suisse Deal,Bloomberg L.P.
Bing,https://markets.businessinsider.com/news/stocks/ubs-keeps-their-buy-rating-on-lanxess-lnxsf-1032230143,UBS Keeps Their Buy Rating on LANXESS (LNXSF),Business Insider
Bing,https://www.msn.com/en-us/money/other/a-dramatic-tragedy-swiss-parliament-split-on-ubs-takeover-of-credit-suisse/ar-AA19IXNg,“A dramatic tragedy”: Swiss parliament split on UBS takeover of Credit Suisse,City AM on MSN
Bing,https://www.msn.com/en-us/money/markets/swiss-finance-minister-says-there-are-no-obstacles-for-ubs-and-credit-suisse/ar-AA19Dexi,Swiss finance minister says there are no obstacles for UBS and Credit Suisse,Cryptopolitan on MSN
Bing,https://www.upi.com/Top_News/World-News/2023/04/05/Switzerland-Regulators-Justify-Credit-Suisse-UBS-Merger/1641680689146/,Swiss regulators say UBS takeover of Credit Suisse was 'best option available',UPI
Bing,https://www.nytimes.com/2023/04/05/business/dealbook/ubs-investors-credit-suisse.html,UBS Chiefs See Risks Ahead in Credit Suisse Takeover,The New York Times
Bing,https://www.bloomberg.com/news/articles/2023-04-12/swiss-lower-house-scuppers-bill-to-approve-ubs-guarantees,Swiss Lower House Scuppers Bill to Approve UBS Guarantees,Bloomberg L.P.
Bing,https://markets.businessinsider.com/news/stocks/ubs-sticks-to-their-buy-rating-for-deutsche-bank-ag-db-1032231146,UBS Sticks to Their Buy Rating for Deutsche Bank AG (DB),Business Insider
Bing,https://www.msn.com/en-us/money/personalfinance/ubs-confident-about-credit-suisse-deal-despite-huge-risk/ar-AA19ux6I,UBS confident about Credit Suisse deal despite ‘huge’ risk,Associated Press on MSN
Bing,https://www.msn.com/en-us/money/companies/ubs-upgrades-western-union-wu/ar-AA19Hq6T,UBS Upgrades Western Union (WU),Fintel on MSN
Bing,https://markets.businessinsider.com/news/stocks/corporate-travel-management-limited-ctmlf-gets-a-buy-from-ubs-1032231452,Corporate Travel Management Limited (CTMLF) Gets a Buy from UBS,Business Insider
Bing,https://markets.businessinsider.com/news/stocks/mercedes-benz-group-mbgaf-receives-a-buy-from-ubs-1032230029,Mercedes-Benz Group (MBGAF) Receives a Buy from UBS,Business Insider
Bing,https://www.cnbc.com/2023/04/10/ubs-says-gains-will-be-limited-for-this-banking-stock-after-recent-crisis.html,"UBS downgrades this regional bank, says 'structural uncertainties' will pressure the stock",CNBC
Bing,https://www.nytimes.com/2023/04/05/business/dealbook/ubs-investors-credit-suisse.html,UBS Chiefs See Risks Ahead in Credit Suisse Takeover,The New York Times
Bing,https://www.businesstoday.in/industry/banks/story/ubs-chairman-warns-of-execution-risks-associated-with-takeover-of-rival-credit-suisse-376211-2023-04-05,UBS chairman warns of ‘execution risks’ associated with takeover of rival Credit Suisse,Business Today
Bing,https://www.reuters.com/business/finance/ubs-faces-investors-after-shotgun-credit-suisse-merger-2023-04-05/,UBS tells investors 'Herculean' Credit Suisse takeover will pay off,Reuters
Bing,https://www.forbes.com/sites/greatspeculations/2023/04/04/ubs-stock-is-trading-below-its-fair-value/,UBS Stock Is Trading Below Its Fair Value,Forbes
Bing,https://www.msn.com/en-us/money/savingandinvesting/ubs-initiates-coverage-of-capital-southwest-cswc-with-neutral-recommendation/ar-AA19JSQD,UBS Initiates Coverage of Capital Southwest (CSWC) with Neutral Recommendation,Fintel on MSN
Bing,https://www.retaildive.com/news/50k-stores-may-close-2027-ubs/647392/,More than 50K stores may close by 2027: UBS,Retail Dive
Bing,https://www.msn.com/en-xl/news/other/wealthy-families-from-middle-east-europe-keen-to-set-up-family-offices-in-hong-kong-ubs-boss-says/ar-AA19FcCg,"Wealthy families from Middle East, Europe keen to set up family offices in Hong Kong, UBS boss says",South China Morning Post on MSN
Bing,https://www.msn.com/en-in/money/topstories/ubs-considers-retaining-credit-suisse-s-private-banking-unit-in-india-report/ar-AA19Kh1B,UBS considers retaining Credit Suisse's private banking unit in India: Report,Business Today on MSN
Bing,https://markets.businessinsider.com/news/stocks/analysts-offer-insights-on-financial-companies-ubs-group-ag-ubs-and-corebridge-financial-inc-crbg-1032222754,"Analysts Offer Insights on Financial Companies: UBS Group AG (UBS) and Corebridge Financial, Inc. (CRBG)",Business Insider
Bing,https://commercialobserver.com/2023/04/ubs-inks-lease-at-skanskas-upcoming-17xm-tower-in-dc/,UBS Inks Lease at Skanska’s Upcoming 17xM Tower in DC,Commercial Observer
Bing,https://www.complianceweek.com/risk-management/ubs-prepping-for-herculean-task-of-integrating-credit-suisse/32927.article,UBS prepping for ‘Herculean task’ of integrating Credit Suisse,Compliance Week
Bing,https://www.politico.eu/article/ubs-buys-credit-suisse-in-rush-deal/,UBS buys Credit Suisse in rush deal,Politico Europe
Bing,https://www.msn.com/en-ae/news/others/oil-production-cuts-to-tighten-market-from-may-and-boost-prices-ubs-says/ar-AA19KbLs,"Oil production cuts to tighten market from May and boost prices, UBS says",The National on MSN
Bing,https://www.cnbc.com/2023/04/05/ubs-says-this-little-known-food-packaging-stock-can-rally-nearly-30percent.html,UBS says this little-known food packaging stock can rally nearly 30%,CNBC
Bing,https://www.cnbc.com/2023/04/06/ubs-names-global-high-quality-dividend-stocks-with-over-5percent-yield.html,UBS names 6 global 'high-quality' dividend stocks with over 5% yield,CNBC
Bing,https://www.msn.com/en-in/money/topstories/swiss-finance-minister-confident-of-smooth-ubs-takeover-of-credit-suisse/ar-AA19E2KA,Swiss Finance Minister confident of smooth UBS takeover of Credit Suisse,Business Today on MSN
Bing,https://www.msn.com/en-us/money/companies/exclusive-bank-of-england-approves-ubs-s-credit-suisse-takeover-in-uk-sources/ar-AA19tcwY,Exclusive-Bank of England approves UBS's Credit Suisse takeover in UK -sources,Reuters on MSN
Bing,https://www.nasdaq.com/articles/guru-fundamental-report-for-ubs,Guru Fundamental Report for UBS,Nasdaq
Bing,https://markets.businessinsider.com/news/stocks/ubs-reaffirms-their-hold-rating-on-challenger-limited-cfigf-1032222772,UBS Reaffirms Their Hold Rating on Challenger Limited (CFIGF),Business Insider
Bing,https://www.reuters.com/business/finance/ubs-ceo-tells-credit-suisse-staff-stay-focused-clients-business-2023-04-06/,UBS CEO tells Credit Suisse staff to stay focused on clients and the business,Reuters
Bing,https://www.msn.com/en-us/money/personalfinance/credit-suisse-had-gigantic-outflows-in-weekend-merger-with-ubs-was-announced/ar-AA19KT0J,Credit Suisse had gigantic outflows in weekend merger with UBS was announced,Reuters on MSN
Bing,https://www.barrons.com/articles/mid-cap-banks-profits-deposits-funding-crisis-5aae9532,"Mid-Cap Banks Face New Pressure on Profits After ‘Crisis,’ UBS Warns",Barron's
Bing,https://www.usnews.com/news/business/articles/2023-04-05/swiss-regulators-defend-rescue-of-credit-suisse-via-ubs-deal,UBS Confident About Credit Suisse Deal Despite 'Huge' Risk,U.S. News & World Report
Bing,https://www.msn.com/en-in/money/news/tcs-ceo-designate-sees-impact-on-some-projects-due-to-credit-suisse-ubs-merger/ar-AA19NCeF,TCS CEO designate sees impact on some projects due to Credit Suisse-UBS merger,CNBCTV18 on MSN
Bing,https://www.ibtimes.com/ubs-shareholders-weigh-credit-suisse-mega-merger-3683400,UBS Shareholders To Weigh In On Credit Suisse Mega-merger,International Business Times
Bing,https://www.nytimes.com/2023/04/04/business/dealbook/credit-suisse-shareholders.html,"For Credit Suisse Shareholders, a Wake Followed by Recriminations",The New York Times
Bing,https://markets.businessinsider.com/news/stocks/ubs-reaffirms-their-hold-rating-on-asx-limited-asxff-1032222771,UBS Reaffirms Their Hold Rating on ASX Limited (ASXFF),Business Insider
Bing,https://seekingalpha.com/news/3954726-automakers-likely-driving-toward-overproduction-ubs,Automakers likely driving toward overproduction - UBS,Seeking Alpha
