Search Engine,Link,Title,Source
Bing,https://www.bloomberg.com/news/articles/2023-04-11/credit-suisse-deal-to-turn-ubs-into-wealth-management-powerhouse-jpmorgan-says,"Credit Suisse Takeover Will Turn UBS Into Wealth Management ‘Powerhouse,’ JPMorgan Says",Bloomberg L.P.
Bing,https://www.msn.com/en-us/money/other/swiss-parliament-s-lower-house-debates-ubs-deal-after-upper-house-nod-1/ar-AA19JtwH,Parliament’s Upper House Agrees to Guarantees for UBS-CS Merger,Bloomberg on MSN
Bing,https://www.reuters.com/world/india/ubs-considers-retaining-credit-suisses-india-unit-bloomberg-news-2023-04-12/,UBS considers retaining Credit Suisse's India unit - Bloomberg News,Reuters
Bing,https://www.bloomberg.com/news/articles/2023-04-12/ubs-weighs-retaining-credit-suisse-unit-serving-india-s-rich,UBS Weighs Retaining Credit Suisse Unit Serving India’s Rich,Bloomberg L.P.
Bing,https://www.msn.com/en-us/money/other/brace-for-stock-market-volatility-to-persist-this-year-as-investors-get-bombarded-with-economic-data-ubs-says/ar-AA19L2bC,"Brace for stock-market volatility to persist this year as investors get bombarded with economic data, UBS says",Business Insider on MSN
Bing,https://finance.yahoo.com/news/ubs-mulls-keeping-credit-suisse-154135669.html,UBS Mulls Keeping Credit Suisse Private Wealth Unit Targeting India's Wealthy Diaspora,YAHOO!Finance
Bing,https://seekingalpha.com/news/3956034-credit-suisse-ubs-deal-voted-down-by-swiss-parliaments-lower-house,"Credit Suisse, UBS deal voted down by Swiss parliament's lower house",Seeking Alpha
Bing,https://www.barrons.com/articles/alibaba-jd-baidu-chinese-stocks-23a08c41,Good News for Alibaba and Other Chinese Stocks. UBS Sees 3 Reasons to Be Bullish.,Barron's
Bing,https://money.yahoo.com/50-000-stores-could-close-193032161.html,"50,000 Stores Could Close in the Next 5 Years, UBS Says",Yahoo Money
Bing,https://www.msn.com/en-us/money/markets/“a-dramatic-tragedy”-swiss-parliament-split-on-ubs-takeover-of-credit-suisse/ar-AA19IXNg,“A dramatic tragedy”: Swiss parliament split on UBS takeover of Credit Suisse,MSN
Bing,https://www.bizjournals.com/washington/news/2023/04/12/ubs-skanska-dc-office.html,UBS to relocate D.C. offices to Skanska's newest trophy property,The Business Journals
Bing,https://www.bloomberg.com/news/articles/2023-04-13/ubs-hires-strategy-consultants-oliver-wyman-to-help-with-credit-suisse-deal,UBS Hires Strategy Consultants Oliver Wyman to Help With Credit Suisse Integration,Bloomberg L.P.
Bing,https://www.msn.com/en-us/money/companies/ubs-taps-jpmorgan-to-explore-possible-ipo-of-credit-suisse-s-domestic-business-report/ar-AA19Og4j,UBS taps JPMorgan to explore possible IPO of Credit Suisse’s domestic business: report,MarketWatch on MSN
Bing,https://markets.businessinsider.com/news/stocks/ubs-remains-a-buy-on-nufarm-limited-nufmf-1032231447,UBS Remains a Buy on Nufarm Limited (NUFMF),Business Insider
Bing,https://markets.businessinsider.com/news/stocks/ubs-sticks-to-their-buy-rating-for-beach-energy-limited-beptf-1032231453,UBS Sticks to Their Buy Rating for Beach Energy Limited (BEPTF),Business Insider
Bing,https://www.cnbc.com/2023/04/10/sell-mining-stocks-and-load-up-on-energy-ones-with-these-8-names-ubs.html,Sell these mining stocks and load up on 8 energy ones instead: UBS,CNBC
Bing,https://www.msn.com/en-us/money/markets/swiss-finance-minister-sees-no-stumbling-blocks-to-ubs-takeover-of-credit-suisse/ar-AA19CBDz,Swiss finance minister sees no 'stumbling blocks' to UBS takeover of Credit Suisse,Reuters on MSN
Bing,https://www.msn.com/en-us/money/markets/the-buckle-started-at-neutral-as-ubs-sees-macro-headwinds-balancing-sales-growth/ar-AA19GwnX,The Buckle started at Neutral as UBS sees macro headwinds balancing sales growth,Seeking Alpha on MSN
Bing,https://markets.businessinsider.com/news/stocks/corporate-travel-management-limited-ctmlf-gets-a-buy-from-ubs-1032231452,Corporate Travel Management Limited (CTMLF) Gets a Buy from UBS,Business Insider
Bing,https://www.insurancebusinessmag.com/us/news/breaking-news/ubs-chief-gets-reelected-as-swiss-re-chair-ahead-of-departure-from-reinsurer-442593.aspx,UBS chief gets re-elected as Swiss Re chair ahead of departure from reinsurer,insurancebusinessmag
Bing,https://www.investmentnews.com/credit-suisse-deal-will-make-ubs-a-wealth-management-powerhouse-jpmorgan-236257,Credit Suisse deal will make UBS a wealth management ‘powerhouse’: JPMorgan,InvestmentNews
Bing,https://markets.businessinsider.com/news/stocks/ubs-sticks-to-their-buy-rating-for-deutsche-bank-ag-db-1032231146,UBS Sticks to Their Buy Rating for Deutsche Bank AG (DB),Business Insider
Bing,https://markets.businessinsider.com/news/stocks/ubs-keeps-their-buy-rating-on-lanxess-lnxsf-1032230143,UBS Keeps Their Buy Rating on LANXESS (LNXSF),Business Insider
Bing,https://www.sportsbusinessdaily.com/Daily/Issues/2023/04/10/Facilities/ubs-arena-islanders-naming-rights-mercedes-f1-team-sponsorship.aspx,"UBS says Isles deal ‘has delivered,’ F1 ‘important’ for brand",Sports Business Journal
Bing,https://www.msn.com/en-us/money/markets/ubs-gr-unusual-options-activity/ar-AA19MTqC,UBS Gr Unusual Options Activity,Benzinga on MSN
Bing,https://www.msn.com/en-us/money/companies/mcdonalds-same-store-growth-will-accelerate-past-internal-estimates-ubs-geiger/vi-AA19GzTG,McDonald's same-store growth will accelerate past internal estimates: UBS' Geiger,CNBC on MSN
Bing,https://finance.yahoo.com/video/chinas-recovery-track-says-ubss-031335687.html,"China's Recovery Is Right on Track, Says UBS's Hu",YAHOO!Finance
Bing,https://www.msn.com/de-de/finanzen/top-stories/ubs-holt-oliver-wyman-als-hilfe-bei-credit-suisse-integration/ar-AA19OjKD,UBS holt Oliver Wyman als Hilfe bei Credit-Suisse-Integration,Bloomberg L.P. on MSN
Bing,https://markets.businessinsider.com/news/stocks/mercedes-benz-group-mbgaf-receives-a-buy-from-ubs-1032230029,Mercedes-Benz Group (MBGAF) Receives a Buy from UBS,Business Insider
Bing,https://commercialobserver.com/2023/04/ubs-inks-lease-at-skanskas-upcoming-17xm-tower-in-dc/,UBS Inks Lease at Skanska’s Upcoming 17xM Tower in DC,Commercial Observer
Bing,https://www.retaildive.com/news/50k-stores-may-close-2027-ubs/647392/,More than 50K stores may close by 2027: UBS,Retail Dive
Bing,https://www.msn.com/en-us/money/savingandinvesting/ubs-upgrades-evercore-partners-evr/ar-AA19Mx8X,UBS Upgrades Evercore Partners (EVR),MSN
Bing,https://www.bloomberg.com/news/articles/2023-04-11/swiss-government-set-for-grilling-over-ubs-credit-suisse-deal,Swiss Government Set for Grilling Over UBS-Credit Suisse Deal,Bloomberg L.P.
Bing,https://www.washingtonpost.com/business/2023/04/05/how-ubs-can-turn-a-wake-for-credit-suisse-into-a-party/4f2501b6-d3ac-11ed-ac8b-cd7da05168e9_story.html,How UBS Can Turn a Wake for Credit Suisse Into a Party,The Washington Post
Bing,https://www.msn.com/en-in/money/topstories/ubs-considers-retaining-credit-suisse-s-private-banking-unit-in-india-report/ar-AA19Kh1B,UBS considers retaining Credit Suisse's private banking unit in India: Report,Business Today on MSN
Bing,https://www.bloomberg.com/news/articles/2023-04-12/swiss-lower-house-scuppers-bill-to-approve-ubs-guarantees,Swiss Lower House Scuppers Bill to Approve UBS Guarantees,Bloomberg L.P.
Bing,https://www.msn.com/en-us/money/topstocks/ubs-downgrades-huntington-bancshares-hban/ar-AA19GZGy,UBS Downgrades Huntington Bancshares (HBAN),Fintel on MSN
Bing,https://news.yahoo.com/swiss-parliament-grapples-compromise-ubs-072753540.html,Swiss Parliament Grapples With Compromise on UBS Guarantees,YAHOO!News
Bing,https://www.bloomberg.com/graphics/2023-layoff-tracker-credit-suisse-ubs-job-cuts/,UBS Joins a Rising Tide of Global Layoffs Beyond Big Tech,Bloomberg L.P.
Bing,https://www.msn.com/en-us/money/personalfinance/credit-suisse-had-gigantic-outflows-in-weekend-merger-with-ubs-was-announced/ar-AA19KT0J,Credit Suisse had gigantic outflows in weekend merger with UBS was announced,Reuters on MSN
Bing,https://news.yahoo.com/swiss-lower-house-votes-second-122149689.html,Swiss Lower House Censures UBS Guarantees in Symbolic Vote,YAHOO!News
Bing,https://www.globalcapital.com/article/2biwfsa6oyfnbu0w2t4w0/equity/equity-people-and-markets/mercier-departs-ubs-after-13-years,Mercier departs UBS after 13 years,GlobalCapital
Bing,https://www.msn.com/en-ae/news/others/oil-production-cuts-to-tighten-market-from-may-and-boost-prices-ubs-says/ar-AA19KbLs,"Oil production cuts to tighten market from May and boost prices, UBS says",The National on MSN
Bing,https://www.msn.com/en-us/money/savingandinvesting/ubs-initiates-coverage-of-capital-southwest-cswc-with-neutral-recommendation/ar-AA19JSQD,UBS Initiates Coverage of Capital Southwest (CSWC) with Neutral Recommendation,Fintel on MSN
Bing,https://abcnews.go.com/International/wireStory/swiss-regulators-defend-rescue-credit-suisse-ubs-deal-98372287,UBS confident about Credit Suisse deal despite 'huge' risk,ABC
Bing,https://www.msn.com/en-us/money/savingandinvesting/ubs-upgrades-goldman-sachs-group-gs/ar-AA19N8zg,UBS Upgrades Goldman Sachs Group (GS),Fintel on MSN
Bing,https://www.barrons.com/articles/mid-cap-banks-profits-deposits-funding-crisis-5aae9532,"Mid-Cap Banks Face New Pressure on Profits After ‘Crisis,’ UBS Warns",Barron's
Bing,https://www.msn.com/en-us/money/topstocks/ubs-upgrades-regions-financial-rf/ar-AA19GXaA,UBS Upgrades Regions Financial (RF),Fintel on MSN
Bing,https://markets.businessinsider.com/news/stocks/analysts-offer-insights-on-financial-companies-ubs-group-ag-ubs-and-corebridge-financial-inc-crbg-1032222754,"Analysts Offer Insights on Financial Companies: UBS Group AG (UBS) and Corebridge Financial, Inc. (CRBG)",Business Insider
Bing,https://www.insurancebusinessmag.com/au/news/breaking-news/ubs-boss-gets-reelected-as-swiss-re-chairman-ahead-of-departure-from-reinsurer-442597.aspx,UBS boss gets re-elected as Swiss Re chairman ahead of departure from reinsurer,insurancebusinessmag
Bing,https://www.cnbc.com/2023/04/10/ubs-says-gains-will-be-limited-for-this-banking-stock-after-recent-crisis.html,"UBS downgrades this regional bank, says 'structural uncertainties' will pressure the stock",CNBC
Bing,https://www.msn.com/en-ae/news/others/oil-production-cuts-to-tighten-market-from-may-and-boost-prices-ubs-says/ar-AA19KbLs,"Oil production cuts to tighten market from May and boost prices, UBS says",The National on MSN
Bing,https://www.reuters.com/business/finance/ubs-chairman-addresses-shareholders-milestone-credit-suisse-takeover-2023-04-05/,UBS Chairman addresses shareholders on milestone Credit Suisse takeover,Reuters
Bing,https://www.msn.com/en-us/money/markets/ubs-faces-investors-after-shotgun-credit-suisse-takeover/ar-AA19uw3O,UBS faces investors after shotgun Credit Suisse takeover,Reuters on MSN
Bing,https://www.msn.com/en-us/money/topstocks/ubs-maintains-united-therapeutics-uthr-buy-recommendation/ar-AA19H1Be,UBS Maintains United Therapeutics (UTHR) Buy Recommendation,Fintel on MSN
Bing,https://www.msn.com/en-us/money/savingandinvesting/ubs-maintains-constellation-brands-stz-buy-recommendation/ar-AA19HnQM,UBS Maintains Constellation Brands (STZ) Buy Recommendation,Fintel on MSN
Bing,https://www.msn.com/en-us/money/companies/ubs-upgrades-western-union-wu/ar-AA19Hq6T,UBS Upgrades Western Union (WU),Fintel on MSN
Bing,https://www.msn.com/en-us/money/topstocks/ubs-downgrades-m-t-bank-mtb/ar-AA19HgO2,UBS Downgrades M & T Bank (MTB),Fintel on MSN
Bing,https://markets.businessinsider.com/news/stocks/ubs-reaffirms-their-hold-rating-on-challenger-limited-cfigf-1032222772,UBS Reaffirms Their Hold Rating on Challenger Limited (CFIGF),Business Insider
Bing,https://www.upi.com/Top_News/World-News/2023/04/05/Switzerland-Regulators-Justify-Credit-Suisse-UBS-Merger/1641680689146/,Swiss regulators say UBS takeover of Credit Suisse was 'best option available',UPI
Bing,https://www.msn.com/en-us/money/markets/swiss-finance-minister-says-there-are-no-obstacles-for-ubs-and-credit-suisse/ar-AA19Dexi,Swiss finance minister says there are no obstacles for UBS and Credit Suisse,Cryptopolitan on MSN
Bing,https://www.msn.com/en-us/money/companies/ubs-tells-investors-shotgun-credit-suisse-takeover-a-major-challenge/ar-AA19uQvi,UBS tells investors shotgun Credit Suisse takeover a 'major challenge',Reuters on MSN
Bing,https://www.reuters.com/markets/europe/bank-england-approves-ubss-credit-suisse-takeover-uk-sources-2023-04-04/,Exclusive: Bank of England approves UBS's Credit Suisse takeover in UK -sources,Reuters
Bing,https://www.forbes.com/sites/greatspeculations/2023/04/04/ubs-stock-is-trading-below-its-fair-value/,UBS Stock Is Trading Below Its Fair Value,Forbes
Bing,https://markets.businessinsider.com/news/stocks/j-p-morgan-reaffirms-their-buy-rating-on-ubs-group-ag-ubs-1032223482,J.P. Morgan Reaffirms Their Buy Rating on UBS Group AG (UBS),Business Insider
Bing,https://www.msn.com/en-in/money/topstories/swiss-finance-minister-confident-of-smooth-ubs-takeover-of-credit-suisse/ar-AA19E2KA,Swiss Finance Minister confident of smooth UBS takeover of Credit Suisse,Business Today on MSN
Bing,https://www.marketwatch.com/story/swiss-lawmakers-open-session-looking-at-ubs-credit-suisse-deal-63d064b9,Swiss lawmakers open session looking at UBS-Credit Suisse deal,MarketWatch
Bing,https://markets.businessinsider.com/news/stocks/ubs-reaffirms-their-hold-rating-on-asx-limited-asxff-1032222771,UBS Reaffirms Their Hold Rating on ASX Limited (ASXFF),Business Insider
Bing,https://www.nasdaq.com/articles/guru-fundamental-report-for-ubs,Guru Fundamental Report for UBS,Nasdaq
Bing,https://www.nytimes.com/2023/04/05/business/dealbook/ubs-investors-credit-suisse.html,UBS Chiefs See Risks Ahead in Credit Suisse Takeover,The New York Times
Bing,https://www.reuters.com/business/finance/ubs-faces-investors-after-shotgun-credit-suisse-merger-2023-04-05/,UBS tells investors 'Herculean' Credit Suisse takeover will pay off,Reuters
Bing,https://www.msn.com/en-us/money/companies/corrected-rpt-update-2-ubs-tells-investors-shotgun-credit-suisse-takeover-a-major-challenge/ar-AA19uFcd,CORRECTED-RPT-UPDATE 2-UBS tells investors shotgun Credit Suisse takeover a 'major challenge',Reuters on MSN
Bing,https://www.barrons.com/articles/mid-cap-banks-profits-deposits-funding-crisis-5aae9532,"Mid-Cap Banks Face New Pressure on Profits After ‘Crisis,’ UBS Warns",Barron's
Bing,https://www.politico.eu/article/ubs-buys-credit-suisse-in-rush-deal/,UBS buys Credit Suisse in rush deal,Politico Europe
Bing,https://www.msn.com/en-in/money/news/tcs-ceo-designate-sees-impact-on-some-projects-due-to-credit-suisse-ubs-merger/ar-AA19NCeF,TCS CEO designate sees impact on some projects due to Credit Suisse-UBS merger,CNBCTV18 on MSN
Bing,https://www.msn.com/en-us/money/markets/bank-of-england-clears-ubs-325b-takeover-of-credit-suisse-in-uk-report/ar-AA19uLmZ,Bank of England clears UBS' $3.25B takeover of Credit Suisse in UK - report,Seeking Alpha on MSN
Bing,https://www.msn.com/en-ca/money/topstories/ubs-seeks-to-assure-investors-shotgun-credit-suisse-takeover-can-pay-off/ar-AA19uUDC,UBS seeks to assure investors shotgun Credit Suisse takeover can pay off,Reuters on MSN
Bing,https://www.cnbc.com/2023/04/05/ubs-says-this-little-known-food-packaging-stock-can-rally-nearly-30percent.html,UBS says this little-known food packaging stock can rally nearly 30%,CNBC
Bing,https://www.cnbc.com/2023/04/06/ubs-names-global-high-quality-dividend-stocks-with-over-5percent-yield.html,UBS names 6 global 'high-quality' dividend stocks with over 5% yield,CNBC
Bing,https://www.cnbc.com/2023/04/05/ubs-holds-first-shareholder-meeting-since-controversial-credit-suisse-takeover.html,'Historic day': UBS sets out plans in first shareholder meeting since Credit Suisse takeover,CNBC
Bing,https://www.reuters.com/business/finance/ubs-ceo-tells-credit-suisse-staff-stay-focused-clients-business-2023-04-06/,UBS CEO tells Credit Suisse staff to stay focused on clients and the business,Reuters
Bing,https://www.msn.com/en-us/money/companies/corrected-update-2-ubs-tells-investors-shotgun-credit-suisse-takeover-a-major-challenge/ar-AA19v3tN,CORRECTED-UPDATE 2-UBS tells investors shotgun Credit Suisse takeover a 'major challenge',Reuters on MSN
Bing,https://www.complianceweek.com/risk-management/ubs-prepping-for-herculean-task-of-integrating-credit-suisse/32927.article,UBS prepping for ‘Herculean task’ of integrating Credit Suisse,Compliance Week
Bing,https://www.msn.com/en-us/money/companies/ubs-faces-investors-after-shotgun-credit-suisse-merger/ar-AA19vQ9W,UBS faces investors after shotgun Credit Suisse merger,Reuters on MSN
